,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9578,0.9249,0.9617
1,wiscosin,20,0.9578,0.9343,0.9534
2,wiscosin,40,0.9578,0.9343,0.9534
3,wiscosin,60,0.949,0.9251,0.9381
4,pima_diabetes,10,0.7696,0.5415,0.7353
5,pima_diabetes,20,0.7552,0.4741,0.7358
6,pima_diabetes,40,0.7293,0.4075,0.6934
7,pima_diabetes,60,0.7084,0.4295,0.6198
8,bc_coimbra,10,0.6819,0.6127,0.714
9,bc_coimbra,20,0.6728,0.5327,0.7503
10,bc_coimbra,40,0.612,0.5309,0.6232
11,bc_coimbra,60,0.5428,0.4327,0.5068
12,indian_liver,10,0.703,0.877,0.7524
13,indian_liver,20,0.7185,0.8915,0.7598
14,indian_liver,40,0.6943,0.918,0.7268
15,indian_liver,60,0.7185,0.9299,0.7426
16,parkinsons,10,0.8,0.9457,0.8262
17,parkinsons,20,0.8051,0.9526,0.8274
18,parkinsons,40,0.7744,0.9253,0.8098
19,parkinsons,60,0.7846,0.9184,0.8194
20,mammographic_masses,10,0.8024,0.836,0.776
21,mammographic_masses,20,0.7952,0.8235,0.773
22,mammographic_masses,40,0.794,0.8211,0.7726
23,mammographic_masses,60,0.7542,0.7888,0.7341
24,hcv_egyptian,10,0.2325,0.2325,0.2325
25,hcv_egyptian,20,0.2289,0.2289,0.2289
26,hcv_egyptian,40,0.2318,0.2318,0.2318
27,hcv_egyptian,60,0.2325,0.2325,0.2325
28,thoracic_surgey,10,0.8489,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8489,0.0,0.0
31,thoracic_surgey,60,0.8468,0.0143,0.1
