,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.8559,0.656,0.941
1,wiscosin,20,0.7926,0.4671,0.9537
2,wiscosin,40,0.6995,0.1986,0.9818
3,wiscosin,60,0.638,0.0283,0.6
4,pima_diabetes,10,0.7305,0.3695,0.7205
5,pima_diabetes,20,0.6979,0.2687,0.6695
6,pima_diabetes,40,0.6875,0.1716,0.7199
7,pima_diabetes,60,0.6732,0.0823,0.8512
8,bc_coimbra,10,0.6199,0.4709,0.5656
9,bc_coimbra,20,0.621,0.52,0.715
10,bc_coimbra,40,0.5264,0.0,0.0
11,bc_coimbra,60,0.5431,0.0,0.0
12,indian_liver,10,0.6857,0.9397,0.7124
13,indian_liver,20,0.715,0.9758,0.7229
14,indian_liver,40,0.7099,0.9928,0.7135
15,indian_liver,60,0.715,1.0,0.715
16,parkinsons,10,0.759,0.9526,0.7781
17,parkinsons,20,0.7795,1.0,0.7738
18,parkinsons,40,0.7538,1.0,0.7538
19,parkinsons,60,0.7538,1.0,0.7538
20,mammographic_masses,10,0.7373,0.6499,0.7726
21,mammographic_masses,20,0.6964,0.526,0.7748
22,mammographic_masses,40,0.6386,0.3152,0.8377
23,mammographic_masses,60,0.5506,0.0943,0.8242
24,hcv_egyptian,10,0.252,0.252,0.252
25,hcv_egyptian,20,0.2671,0.2671,0.2671
26,hcv_egyptian,40,0.2657,0.2657,0.2657
27,hcv_egyptian,60,0.2664,0.2664,0.2664
28,thoracic_surgey,10,0.8447,0.0,0.0
29,thoracic_surgey,20,0.8489,0.0143,0.1
30,thoracic_surgey,40,0.8468,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
