,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9438,0.9109,0.9382
1,wiscosin,20,0.9402,0.9059,0.9355
2,wiscosin,40,0.9245,0.8496,0.944
3,wiscosin,60,0.9086,0.7979,0.95
4,pima_diabetes,10,0.7331,0.5261,0.6468
5,pima_diabetes,20,0.7214,0.5267,0.621
6,pima_diabetes,40,0.6967,0.4147,0.5937
7,pima_diabetes,60,0.6823,0.4296,0.5454
8,bc_coimbra,10,0.6993,0.6364,0.7256
9,bc_coimbra,20,0.6207,0.46,0.6442
10,bc_coimbra,40,0.5605,0.2891,0.65
11,bc_coimbra,60,0.5261,0.3109,0.6289
12,indian_liver,10,0.7134,0.8818,0.7574
13,indian_liver,20,0.7082,0.9132,0.7399
14,indian_liver,40,0.6943,0.9494,0.716
15,indian_liver,60,0.6874,0.9518,0.7098
16,parkinsons,10,0.8154,0.9593,0.8321
17,parkinsons,20,0.7795,0.9598,0.7955
18,parkinsons,40,0.7487,0.9667,0.7635
19,parkinsons,60,0.7538,0.9867,0.7595
20,mammographic_masses,10,0.794,0.841,0.7621
21,mammographic_masses,20,0.7976,0.8435,0.7675
22,mammographic_masses,40,0.7795,0.8314,0.7439
23,mammographic_masses,60,0.7687,0.8285,0.7321
24,hcv_egyptian,10,0.2375,0.2375,0.2375
25,hcv_egyptian,20,0.2448,0.2448,0.2448
26,hcv_egyptian,40,0.2253,0.2253,0.2253
27,hcv_egyptian,60,0.2397,0.2397,0.2397
28,thoracic_surgey,10,0.8426,0.0286,0.1667
29,thoracic_surgey,20,0.8383,0.0143,0.1
30,thoracic_surgey,40,0.8404,0.0286,0.15
31,thoracic_surgey,60,0.8362,0.0286,0.08
