,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9526,0.9203,0.951
1,wiscosin,20,0.9455,0.9156,0.9377
2,wiscosin,40,0.928,0.8824,0.9234
3,wiscosin,60,0.9262,0.8682,0.9298
4,pima_diabetes,10,0.7631,0.5226,0.7282
5,pima_diabetes,20,0.7553,0.5115,0.707
6,pima_diabetes,40,0.7357,0.4219,0.7038
7,pima_diabetes,60,0.7122,0.3618,0.6665
8,bc_coimbra,10,0.6815,0.5764,0.7201
9,bc_coimbra,20,0.646,0.6382,0.6267
10,bc_coimbra,40,0.6116,0.5182,0.6482
11,bc_coimbra,60,0.604,0.5709,0.5557
12,indian_liver,10,0.7047,0.877,0.7529
13,indian_liver,20,0.6961,0.8867,0.7424
14,indian_liver,40,0.7029,0.9445,0.7238
15,indian_liver,60,0.6667,0.8891,0.7137
16,parkinsons,10,0.8,0.9322,0.8347
17,parkinsons,20,0.7897,0.9389,0.8203
18,parkinsons,40,0.7949,0.9322,0.8269
19,parkinsons,60,0.759,0.932,0.7881
20,mammographic_masses,10,0.7988,0.8385,0.7706
21,mammographic_masses,20,0.7904,0.836,0.7601
22,mammographic_masses,40,0.7795,0.8089,0.7553
23,mammographic_masses,60,0.7711,0.8285,0.7377
24,hcv_egyptian,10,0.2628,0.2628,0.2628
25,hcv_egyptian,20,0.2469,0.2469,0.2469
26,hcv_egyptian,40,0.2513,0.2513,0.2513
27,hcv_egyptian,60,0.2556,0.2556,0.2556
28,thoracic_surgey,10,0.8489,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8468,0.0,0.0
