,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9543,0.9248,0.9522
1,wiscosin,20,0.9649,0.9437,0.9619
2,wiscosin,40,0.9455,0.9106,0.9421
3,wiscosin,60,0.9315,0.8684,0.9442
4,pima_diabetes,10,0.7579,0.5263,0.7057
5,pima_diabetes,20,0.7605,0.5225,0.7211
6,pima_diabetes,40,0.7149,0.4444,0.6295
7,pima_diabetes,60,0.7148,0.4178,0.6434
8,bc_coimbra,10,0.7159,0.5945,0.7998
9,bc_coimbra,20,0.6196,0.5764,0.5988
10,bc_coimbra,40,0.5949,0.5036,0.5867
11,bc_coimbra,60,0.4996,0.4364,0.4274
12,indian_liver,10,0.7185,0.8915,0.761
13,indian_liver,20,0.6892,0.853,0.7512
14,indian_liver,40,0.6978,0.9373,0.7225
15,indian_liver,60,0.6943,0.9517,0.7151
16,parkinsons,10,0.7744,0.9051,0.8253
17,parkinsons,20,0.7744,0.9055,0.8247
18,parkinsons,40,0.7692,0.9057,0.8144
19,parkinsons,60,0.7692,0.9324,0.7984
20,mammographic_masses,10,0.8,0.8436,0.7688
21,mammographic_masses,20,0.7988,0.8435,0.7661
22,mammographic_masses,40,0.8048,0.8585,0.7677
23,mammographic_masses,60,0.7699,0.7988,0.7474
24,hcv_egyptian,10,0.2462,0.2462,0.2462
25,hcv_egyptian,20,0.2585,0.2585,0.2585
26,hcv_egyptian,40,0.252,0.252,0.252
27,hcv_egyptian,60,0.2744,0.2744,0.2744
28,thoracic_surgey,10,0.8489,0.0,0.0
29,thoracic_surgey,20,0.8489,0.0,0.0
30,thoracic_surgey,40,0.8489,0.0,0.0
31,thoracic_surgey,60,0.8404,0.0286,0.15
