,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9473,0.9106,0.9465
1,wiscosin,20,0.928,0.873,0.9311
2,wiscosin,40,0.921,0.8501,0.931
3,wiscosin,60,0.8399,0.7743,0.8325
4,pima_diabetes,10,0.7605,0.5262,0.717
5,pima_diabetes,20,0.7423,0.4779,0.6935
6,pima_diabetes,40,0.7071,0.3394,0.6513
7,pima_diabetes,60,0.6992,0.2905,0.6453
8,bc_coimbra,10,0.6554,0.5018,0.6962
9,bc_coimbra,20,0.6554,0.5,0.7198
10,bc_coimbra,40,0.6018,0.4036,0.61
11,bc_coimbra,60,0.613,0.3818,0.6007
12,indian_liver,10,0.7116,0.8866,0.7545
13,indian_liver,20,0.6995,0.8963,0.7391
14,indian_liver,40,0.6805,0.8867,0.7273
15,indian_liver,60,0.7099,0.9686,0.7213
16,parkinsons,10,0.7897,0.932,0.8247
17,parkinsons,20,0.7949,0.9526,0.8169
18,parkinsons,40,0.7846,0.9386,0.8131
19,parkinsons,60,0.7795,0.9241,0.8112
20,mammographic_masses,10,0.7795,0.826,0.7479
21,mammographic_masses,20,0.7759,0.821,0.7478
22,mammographic_masses,40,0.7265,0.7717,0.7003
23,mammographic_masses,60,0.641,0.6235,0.6402
24,hcv_egyptian,10,0.2412,0.2412,0.2412
25,hcv_egyptian,20,0.2368,0.2368,0.2368
26,hcv_egyptian,40,0.265,0.265,0.265
27,hcv_egyptian,60,0.2347,0.2347,0.2347
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8574,0.0429,0.4
31,thoracic_surgey,60,0.8511,0.0,0.0
