,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9385,0.8868,0.9459
1,wiscosin,20,0.928,0.8489,0.9546
2,wiscosin,40,0.8981,0.7642,0.9564
3,wiscosin,60,0.8261,0.5989,0.9003
4,pima_diabetes,10,0.7449,0.4781,0.6926
5,pima_diabetes,20,0.7383,0.4403,0.6992
6,pima_diabetes,40,0.7148,0.3098,0.7151
7,pima_diabetes,60,0.6836,0.2201,0.6323
8,bc_coimbra,10,0.6641,0.5236,0.7255
9,bc_coimbra,20,0.6899,0.5582,0.8055
10,bc_coimbra,40,0.6721,0.5491,0.6667
11,bc_coimbra,60,0.4996,0.4273,0.5525
12,indian_liver,10,0.7202,0.9012,0.7577
13,indian_liver,20,0.7047,0.9108,0.7395
14,indian_liver,40,0.7289,0.9518,0.742
15,indian_liver,60,0.7133,0.9783,0.7207
16,parkinsons,10,0.7744,0.9184,0.8165
17,parkinsons,20,0.7692,0.9251,0.8057
18,parkinsons,40,0.7692,0.9317,0.805
19,parkinsons,60,0.7385,0.9391,0.7676
20,mammographic_masses,10,0.7952,0.8212,0.7736
21,mammographic_masses,20,0.7675,0.7271,0.7807
22,mammographic_masses,40,0.7325,0.732,0.7263
23,mammographic_masses,60,0.6928,0.5849,0.7403
24,hcv_egyptian,10,0.2491,0.2491,0.2491
25,hcv_egyptian,20,0.2448,0.2448,0.2448
26,hcv_egyptian,40,0.2433,0.2433,0.2433
27,hcv_egyptian,60,0.2448,0.2448,0.2448
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8447,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8468,0.0,0.0
