,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9543,0.9297,0.9496
1,wiscosin,20,0.9543,0.9203,0.9567
2,wiscosin,40,0.9403,0.8636,0.975
3,wiscosin,60,0.9368,0.8824,0.9471
4,pima_diabetes,10,0.7644,0.5301,0.7229
5,pima_diabetes,20,0.7448,0.515,0.6784
6,pima_diabetes,40,0.7071,0.4556,0.6078
7,pima_diabetes,60,0.6889,0.3957,0.5889
8,bc_coimbra,10,0.621,0.5164,0.6676
9,bc_coimbra,20,0.6547,0.6255,0.6317
10,bc_coimbra,40,0.6036,0.3436,0.6087
11,bc_coimbra,60,0.596,0.6127,0.5902
12,indian_liver,10,0.6927,0.8384,0.7571
13,indian_liver,20,0.6771,0.8528,0.7385
14,indian_liver,40,0.6978,0.8843,0.7421
15,indian_liver,60,0.7031,0.9036,0.7435
16,parkinsons,10,0.7795,0.9117,0.8274
17,parkinsons,20,0.7949,0.9046,0.8498
18,parkinsons,40,0.7949,0.8851,0.8624
19,parkinsons,60,0.7949,0.9379,0.8229
20,mammographic_masses,10,0.8145,0.8709,0.7762
21,mammographic_masses,20,0.7807,0.8135,0.7554
22,mammographic_masses,40,0.7916,0.8486,0.7546
23,mammographic_masses,60,0.7819,0.8161,0.7559
24,hcv_egyptian,10,0.2404,0.2404,0.2404
25,hcv_egyptian,20,0.2448,0.2448,0.2448
26,hcv_egyptian,40,0.2534,0.2534,0.2534
27,hcv_egyptian,60,0.2455,0.2455,0.2455
28,thoracic_surgey,10,0.8553,0.0429,0.3333
29,thoracic_surgey,20,0.8383,0.0857,0.15
30,thoracic_surgey,40,0.8447,0.0714,0.28
31,thoracic_surgey,60,0.8149,0.1429,0.2093
