,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.5676,0.0945,0.2713
1,wiscosin,20,0.5974,0.0944,0.3795
2,wiscosin,40,0.6134,0.1416,0.425
3,wiscosin,60,0.587,0.1132,0.3094
4,pima_diabetes,10,0.6458,0.0261,0.3571
5,pima_diabetes,20,0.6497,0.0557,0.5448
6,pima_diabetes,40,0.6459,0.0672,0.4625
7,pima_diabetes,60,0.651,0.0296,0.2929
8,bc_coimbra,10,0.5,0.3691,0.425
9,bc_coimbra,20,0.5514,0.5018,0.5015
10,bc_coimbra,40,0.4906,0.4582,0.448
11,bc_coimbra,60,0.5254,0.3055,0.5139
12,indian_liver,10,0.7012,0.9759,0.7125
13,indian_liver,20,0.689,0.9564,0.7094
14,indian_liver,40,0.7099,0.9831,0.7166
15,indian_liver,60,0.7064,0.983,0.714
16,parkinsons,10,0.7538,0.9726,0.7647
17,parkinsons,20,0.7333,0.9593,0.7541
18,parkinsons,40,0.7385,0.9729,0.7526
19,parkinsons,60,0.7538,0.9522,0.7746
20,mammographic_masses,10,0.512,0.3999,0.4991
21,mammographic_masses,20,0.5096,0.4244,0.4939
22,mammographic_masses,40,0.5,0.3721,0.4801
23,mammographic_masses,60,0.4928,0.417,0.4789
24,hcv_egyptian,10,0.2433,0.2433,0.2433
25,hcv_egyptian,20,0.2505,0.2505,0.2505
26,hcv_egyptian,40,0.2325,0.2325,0.2325
27,hcv_egyptian,60,0.2383,0.2383,0.2383
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8468,0.0,0.0
31,thoracic_surgey,60,0.8489,0.0,0.0
