,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9438,0.911,0.9383
1,wiscosin,20,0.9085,0.8024,0.9467
2,wiscosin,40,0.9087,0.8258,0.9232
3,wiscosin,60,0.8452,0.6047,0.9614
4,pima_diabetes,10,0.7513,0.4665,0.7305
5,pima_diabetes,20,0.7253,0.4065,0.675
6,pima_diabetes,40,0.711,0.3061,0.6885
7,pima_diabetes,60,0.6889,0.2537,0.6788
8,bc_coimbra,10,0.7069,0.5364,0.8406
9,bc_coimbra,20,0.629,0.4618,0.644
10,bc_coimbra,40,0.5601,0.4218,0.5991
11,bc_coimbra,60,0.5428,0.4309,0.4157
12,indian_liver,10,0.7116,0.8891,0.7538
13,indian_liver,20,0.6961,0.9229,0.7266
14,indian_liver,40,0.7012,0.9084,0.7363
15,indian_liver,60,0.7133,0.9735,0.7222
16,parkinsons,10,0.7744,0.9179,0.816
17,parkinsons,20,0.7846,0.932,0.819
18,parkinsons,40,0.7692,0.9253,0.8031
19,parkinsons,60,0.7333,0.9251,0.7695
20,mammographic_masses,10,0.7843,0.8137,0.761
21,mammographic_masses,20,0.7458,0.7543,0.733
22,mammographic_masses,40,0.7253,0.6622,0.7468
23,mammographic_masses,60,0.6747,0.528,0.7367
24,hcv_egyptian,10,0.2419,0.2419,0.2419
25,hcv_egyptian,20,0.2462,0.2462,0.2462
26,hcv_egyptian,40,0.2657,0.2657,0.2657
27,hcv_egyptian,60,0.2397,0.2397,0.2397
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8489,0.0,0.0
30,thoracic_surgey,40,0.8489,0.0,0.0
31,thoracic_surgey,60,0.8489,0.0,0.0
