,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9139,0.8161,0.9461
1,wiscosin,20,0.8471,0.6413,0.9282
2,wiscosin,40,0.7786,0.4342,0.9419
3,wiscosin,60,0.652,0.0756,0.9333
4,pima_diabetes,10,0.7474,0.4666,0.7096
5,pima_diabetes,20,0.7188,0.3886,0.6722
6,pima_diabetes,40,0.6953,0.2393,0.6872
7,pima_diabetes,60,0.6576,0.0824,0.5634
8,bc_coimbra,10,0.6373,0.5418,0.6518
9,bc_coimbra,20,0.621,0.3836,0.6568
10,bc_coimbra,40,0.4562,0.3182,0.3189
11,bc_coimbra,60,0.5692,0.0964,0.6333
12,indian_liver,10,0.7047,0.9108,0.7394
13,indian_liver,20,0.6995,0.9518,0.719
14,indian_liver,40,0.715,0.9662,0.726
15,indian_liver,60,0.7064,0.9831,0.714
16,parkinsons,10,0.7846,0.9248,0.8186
17,parkinsons,20,0.7795,0.9322,0.8128
18,parkinsons,40,0.7692,0.9662,0.7811
19,parkinsons,60,0.7538,0.9931,0.7565
20,mammographic_masses,10,0.7446,0.8238,0.7026
21,mammographic_masses,20,0.7133,0.7615,0.6934
22,mammographic_masses,40,0.6036,0.5314,0.6583
23,mammographic_masses,60,0.5614,0.1265,0.8203
24,hcv_egyptian,10,0.2599,0.2599,0.2599
25,hcv_egyptian,20,0.252,0.252,0.252
26,hcv_egyptian,40,0.2354,0.2354,0.2354
27,hcv_egyptian,60,0.2556,0.2556,0.2556
28,thoracic_surgey,10,0.8447,0.0,0.0
29,thoracic_surgey,20,0.8404,0.0143,0.2
30,thoracic_surgey,40,0.8426,0.0143,0.0667
31,thoracic_surgey,60,0.8511,0.0,0.0
