,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9561,0.9248,0.9569
1,wiscosin,20,0.9543,0.9202,0.9566
2,wiscosin,40,0.9438,0.8966,0.9513
3,wiscosin,60,0.9104,0.8404,0.9119
4,pima_diabetes,10,0.7566,0.5227,0.7061
5,pima_diabetes,20,0.7435,0.4814,0.6983
6,pima_diabetes,40,0.7253,0.3994,0.6943
7,pima_diabetes,60,0.7097,0.3287,0.6743
8,bc_coimbra,10,0.6649,0.6364,0.64
9,bc_coimbra,20,0.6384,0.5618,0.673
10,bc_coimbra,40,0.613,0.5345,0.6081
11,bc_coimbra,60,0.5866,0.4582,0.5402
12,indian_liver,10,0.6978,0.877,0.7457
13,indian_liver,20,0.6823,0.8867,0.7297
14,indian_liver,40,0.6961,0.9325,0.723
15,indian_liver,60,0.6978,0.9542,0.7169
16,parkinsons,10,0.8103,0.9595,0.8277
17,parkinsons,20,0.8103,0.9664,0.8213
18,parkinsons,40,0.7846,0.9193,0.8224
19,parkinsons,60,0.7744,0.9467,0.7951
20,mammographic_masses,10,0.7964,0.826,0.7721
21,mammographic_masses,20,0.8024,0.8436,0.7725
22,mammographic_masses,40,0.788,0.8287,0.7582
23,mammographic_masses,60,0.7639,0.8137,0.7315
24,hcv_egyptian,10,0.2498,0.2498,0.2498
25,hcv_egyptian,20,0.226,0.226,0.226
26,hcv_egyptian,40,0.2274,0.2274,0.2274
27,hcv_egyptian,60,0.2332,0.2332,0.2332
28,thoracic_surgey,10,0.8468,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8489,0.0286,0.4
31,thoracic_surgey,60,0.8489,0.0143,0.0667
