,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9526,0.9249,0.9489
1,wiscosin,20,0.942,0.8965,0.9467
2,wiscosin,40,0.9297,0.8542,0.954
3,wiscosin,60,0.9069,0.7785,0.9669
4,pima_diabetes,10,0.7552,0.5521,0.6847
5,pima_diabetes,20,0.7188,0.4703,0.6295
6,pima_diabetes,40,0.7045,0.4632,0.5968
7,pima_diabetes,60,0.6966,0.4594,0.5848
8,bc_coimbra,10,0.6645,0.5382,0.7285
9,bc_coimbra,20,0.688,0.6164,0.7319
10,bc_coimbra,40,0.612,0.4764,0.6373
11,bc_coimbra,60,0.5768,0.36,0.3889
12,indian_liver,10,0.7081,0.8866,0.7508
13,indian_liver,20,0.7082,0.9011,0.7443
14,indian_liver,40,0.7029,0.9421,0.7252
15,indian_liver,60,0.6961,0.9542,0.7156
16,parkinsons,10,0.7744,0.9253,0.8127
17,parkinsons,20,0.7641,0.9464,0.7876
18,parkinsons,40,0.7538,0.9867,0.7595
19,parkinsons,60,0.7436,0.9864,0.7513
20,mammographic_masses,10,0.7976,0.8559,0.7595
21,mammographic_masses,20,0.7904,0.8411,0.756
22,mammographic_masses,40,0.7578,0.7915,0.7316
23,mammographic_masses,60,0.7663,0.836,0.727
24,hcv_egyptian,10,0.2585,0.2585,0.2585
25,hcv_egyptian,20,0.2303,0.2303,0.2303
26,hcv_egyptian,40,0.2426,0.2426,0.2426
27,hcv_egyptian,60,0.2397,0.2397,0.2397
28,thoracic_surgey,10,0.8383,0.0143,0.05
29,thoracic_surgey,20,0.8426,0.0286,0.1333
30,thoracic_surgey,40,0.8362,0.0857,0.1662
31,thoracic_surgey,60,0.8362,0.0571,0.23
