,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.7013,0.2029,0.98
1,wiscosin,20,0.6309,0.0141,0.3333
2,wiscosin,40,0.6274,0.0,0.0
3,wiscosin,60,0.6274,0.0,0.0
4,pima_diabetes,10,0.6927,0.2575,0.6766
5,pima_diabetes,20,0.681,0.164,0.6872
6,pima_diabetes,40,0.6563,0.0263,0.45
7,pima_diabetes,60,0.6511,0.0038,0.2
8,bc_coimbra,10,0.5866,0.3364,0.4592
9,bc_coimbra,20,0.5692,0.0582,0.3333
10,bc_coimbra,40,0.5518,0.0,0.0
11,bc_coimbra,60,0.5518,0.0,0.0
12,indian_liver,10,0.715,0.9711,0.7246
13,indian_liver,20,0.7133,0.9783,0.7208
14,indian_liver,40,0.7116,0.9952,0.714
15,indian_liver,60,0.715,1.0,0.715
16,parkinsons,10,0.7538,0.9862,0.7591
17,parkinsons,20,0.7487,0.9931,0.7525
18,parkinsons,40,0.7538,1.0,0.7538
19,parkinsons,60,0.7538,1.0,0.7538
20,mammographic_masses,10,0.6482,0.3896,0.7734
21,mammographic_masses,20,0.5735,0.186,0.7475
22,mammographic_masses,40,0.5265,0.0396,0.6981
23,mammographic_masses,60,0.5157,0.0174,0.3
24,hcv_egyptian,10,0.2599,0.2599,0.2599
25,hcv_egyptian,20,0.2657,0.2657,0.2657
26,hcv_egyptian,40,0.2664,0.2664,0.2664
27,hcv_egyptian,60,0.2664,0.2664,0.2664
28,thoracic_surgey,10,0.8468,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8489,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
