,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9403,0.9155,0.926
1,wiscosin,20,0.935,0.9061,0.9231
2,wiscosin,40,0.935,0.8825,0.9427
3,wiscosin,60,0.3972,0.9391,0.3762
4,pima_diabetes,10,0.7435,0.5413,0.6679
5,pima_diabetes,20,0.7344,0.5115,0.6612
6,pima_diabetes,40,0.6914,0.4629,0.5721
7,pima_diabetes,60,0.6966,0.4741,0.5847
8,bc_coimbra,10,0.6457,0.5164,0.7184
9,bc_coimbra,20,0.6373,0.5727,0.6941
10,bc_coimbra,40,0.4841,0.1164,0.5452
11,bc_coimbra,60,0.5692,0.2745,0.6633
12,indian_liver,10,0.7099,0.8818,0.7538
13,indian_liver,20,0.6995,0.9301,0.7268
14,indian_liver,40,0.6978,0.959,0.7151
15,indian_liver,60,0.7099,0.988,0.7151
16,parkinsons,10,0.7692,0.9531,0.7882
17,parkinsons,20,0.7487,0.9464,0.7736
18,parkinsons,40,0.7538,1.0,0.7538
19,parkinsons,60,0.759,1.0,0.7578
20,mammographic_masses,10,0.8012,0.8535,0.7644
21,mammographic_masses,20,0.8,0.8634,0.7582
22,mammographic_masses,40,0.7916,0.8609,0.7485
23,mammographic_masses,60,0.7205,0.6872,0.7309
24,hcv_egyptian,10,0.2505,0.2505,0.2505
25,hcv_egyptian,20,0.2534,0.2534,0.2534
26,hcv_egyptian,40,0.265,0.265,0.265
27,hcv_egyptian,60,0.2448,0.2448,0.2448
28,thoracic_surgey,10,0.8489,0.0571,0.32
29,thoracic_surgey,20,0.8511,0.0714,0.26
30,thoracic_surgey,40,0.834,0.0571,0.1371
31,thoracic_surgey,60,0.766,0.1857,0.2123
