,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.8366,0.6086,0.9327
1,wiscosin,20,0.7786,0.4101,0.99
2,wiscosin,40,0.6749,0.1324,0.975
3,wiscosin,60,0.6327,0.0142,0.4
4,pima_diabetes,10,0.7214,0.3808,0.6994
5,pima_diabetes,20,0.6875,0.2428,0.6464
6,pima_diabetes,40,0.6797,0.112,0.779
7,pima_diabetes,60,0.6602,0.0336,0.8
8,bc_coimbra,10,0.5514,0.6618,0.5959
9,bc_coimbra,20,0.4996,0.14,0.0737
10,bc_coimbra,40,0.5518,0.0,0.0
11,bc_coimbra,60,0.5518,0.0,0.0
12,indian_liver,10,0.7064,0.9759,0.7163
13,indian_liver,20,0.7099,0.9904,0.7143
14,indian_liver,40,0.7116,0.9952,0.714
15,indian_liver,60,0.715,1.0,0.715
16,parkinsons,10,0.7487,0.9795,0.7581
17,parkinsons,20,0.7692,1.0,0.7662
18,parkinsons,40,0.7538,1.0,0.7538
19,parkinsons,60,0.7538,1.0,0.7538
20,mammographic_masses,10,0.5855,0.2629,0.6936
21,mammographic_masses,20,0.5398,0.0719,0.7798
22,mammographic_masses,40,0.512,0.01,0.0889
23,mammographic_masses,60,0.5145,0.0125,0.1
24,hcv_egyptian,10,0.2664,0.2664,0.2664
25,hcv_egyptian,20,0.2657,0.2657,0.2657
26,hcv_egyptian,40,0.2664,0.2664,0.2664
27,hcv_egyptian,60,0.2643,0.2643,0.2643
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
