Model,Dataset,Missing Rate (%),Métrica,Teste
mean,sylva_prior,10,MAE,0.11940877882809
mean,sylva_prior,10,MAE,0.134276028229775
mean,sylva_prior,10,MAE,0.111746654745771
mean,sylva_prior,10,MAE,0.121860968491154
mean,sylva_prior,10,MAE,0.105275330616278
mean,sylva_prior,20,MAE,0.118046155385744
mean,sylva_prior,20,MAE,0.126673342504746
mean,sylva_prior,20,MAE,0.108361539411465
mean,sylva_prior,20,MAE,0.105509251638414
mean,sylva_prior,20,MAE,0.101447265408835
mean,sylva_prior,40,MAE,0.103433037803597
mean,sylva_prior,40,MAE,0.120723961469088
mean,sylva_prior,40,MAE,0.100166179011162
mean,sylva_prior,40,MAE,0.106535181857888
mean,sylva_prior,40,MAE,0.103105985615673
mean,sylva_prior,60,MAE,0.106004259495985
mean,sylva_prior,60,MAE,0.121716508347021
mean,sylva_prior,60,MAE,0.0982354980722396
mean,sylva_prior,60,MAE,0.105171359519961
mean,sylva_prior,60,MAE,0.102646782596339
mean,fri_c4_1000_100,10,MAE,1.05769465799145
mean,fri_c4_1000_100,10,MAE,0.84931191535148
mean,fri_c4_1000_100,10,MAE,1.38745898000386
mean,fri_c4_1000_100,10,MAE,0.455310759476045
mean,fri_c4_1000_100,10,MAE,0.330891471279366
mean,fri_c4_1000_100,20,MAE,0.591555660403494
mean,fri_c4_1000_100,20,MAE,0.474699269650363
mean,fri_c4_1000_100,20,MAE,0.75738863341808
mean,fri_c4_1000_100,20,MAE,0.292501167279196
mean,fri_c4_1000_100,20,MAE,0.245538799379614
mean,fri_c4_1000_100,40,MAE,0.357610237028748
mean,fri_c4_1000_100,40,MAE,0.287646018646388
mean,fri_c4_1000_100,40,MAE,0.436288508940075
mean,fri_c4_1000_100,40,MAE,0.209106636230544
mean,fri_c4_1000_100,40,MAE,0.186580428800793
mean,fri_c4_1000_100,60,MAE,0.279635657906651
mean,fri_c4_1000_100,60,MAE,0.227982947813326
mean,fri_c4_1000_100,60,MAE,0.332239104247427
mean,fri_c4_1000_100,60,MAE,0.181159636180104
mean,fri_c4_1000_100,60,MAE,0.166106508694129
knn,sylva_prior,10,MAE,0.0779452791556528
knn,sylva_prior,10,MAE,0.09665337376045
knn,sylva_prior,10,MAE,0.0869600864482914
knn,sylva_prior,10,MAE,0.0877222429073925
knn,sylva_prior,10,MAE,0.0685699449070899
knn,sylva_prior,20,MAE,0.079631945552342
knn,sylva_prior,20,MAE,0.104631569765621
knn,sylva_prior,20,MAE,0.0894650364887919
knn,sylva_prior,20,MAE,0.0847466378790219
knn,sylva_prior,20,MAE,0.076331556122734
knn,sylva_prior,40,MAE,0.0860607905672846
knn,sylva_prior,40,MAE,0.106002713128633
knn,sylva_prior,40,MAE,0.0758273953054381
knn,sylva_prior,40,MAE,0.0805337322689824
knn,sylva_prior,40,MAE,0.0759633943325348
knn,sylva_prior,60,MAE,0.0804087070918458
knn,sylva_prior,60,MAE,0.101773261173603
knn,sylva_prior,60,MAE,0.0782360740930731
knn,sylva_prior,60,MAE,0.0747934203027468
knn,sylva_prior,60,MAE,0.0793527706849226
knn,fri_c4_1000_100,10,MAE,1.06396510018713
knn,fri_c4_1000_100,10,MAE,0.851524648431616
knn,fri_c4_1000_100,10,MAE,1.39160209920319
knn,fri_c4_1000_100,10,MAE,0.464605856568424
knn,fri_c4_1000_100,10,MAE,0.337681478176616
knn,fri_c4_1000_100,20,MAE,0.599887722119282
knn,fri_c4_1000_100,20,MAE,0.478918882613401
knn,fri_c4_1000_100,20,MAE,0.762202178339996
knn,fri_c4_1000_100,20,MAE,0.298183002837335
knn,fri_c4_1000_100,20,MAE,0.252027859752442
knn,fri_c4_1000_100,40,MAE,0.365076699078914
knn,fri_c4_1000_100,40,MAE,0.291993509811974
knn,fri_c4_1000_100,40,MAE,0.444291359183544
knn,fri_c4_1000_100,40,MAE,0.217459616137198
knn,fri_c4_1000_100,40,MAE,0.194262067393626
knn,fri_c4_1000_100,60,MAE,0.287155284917983
knn,fri_c4_1000_100,60,MAE,0.23194978548453
knn,fri_c4_1000_100,60,MAE,0.340295483429514
knn,fri_c4_1000_100,60,MAE,0.188423190944089
knn,fri_c4_1000_100,60,MAE,0.175078458701294
mice,sylva_prior,10,MAE,0.0940776010934322
mice,sylva_prior,10,MAE,0.112608662788818
mice,sylva_prior,10,MAE,0.0880157498769401
mice,sylva_prior,10,MAE,0.0829342983884331
mice,sylva_prior,10,MAE,0.143976674879972
mice,sylva_prior,20,MAE,0.0992923595853265
mice,sylva_prior,20,MAE,0.11808572903878
mice,sylva_prior,20,MAE,0.0868695190018656
mice,sylva_prior,20,MAE,0.0873424817293983
