Model,Dataset,Missing Rate (%),Métrica,Teste
mean,sylva_prior,10,MAE,0.0880996904875559
mean,sylva_prior,10,MAE,0.0874293825070988
mean,sylva_prior,10,MAE,0.0877097425035024
mean,sylva_prior,10,MAE,0.0874469047393846
mean,sylva_prior,10,MAE,0.0880153916432518
mean,sylva_prior,20,MAE,0.0872506051345198
mean,sylva_prior,20,MAE,0.0866383490723516
mean,sylva_prior,20,MAE,0.0872660010382724
mean,sylva_prior,20,MAE,0.0874815829002985
mean,sylva_prior,20,MAE,0.0864591507183059
mean,sylva_prior,40,MAE,0.0902560313006219
mean,sylva_prior,40,MAE,0.0892792207498323
mean,sylva_prior,40,MAE,0.0896378021331737
mean,sylva_prior,40,MAE,0.0901111481182197
mean,sylva_prior,40,MAE,0.0894990433966381
mean,sylva_prior,60,MAE,0.0949840902470596
mean,sylva_prior,60,MAE,0.0942529198702253
mean,sylva_prior,60,MAE,0.0950091000729255
mean,sylva_prior,60,MAE,0.0948489253514932
mean,sylva_prior,60,MAE,0.0943704978097509
mean,fri_c4_1000_100,10,MAE,0.302336111022079
mean,fri_c4_1000_100,10,MAE,0.253515028702019
mean,fri_c4_1000_100,10,MAE,0.714405470864604
mean,fri_c4_1000_100,10,MAE,1.07086702676028
mean,fri_c4_1000_100,10,MAE,0.582390836152605
mean,fri_c4_1000_100,20,MAE,0.366548512893373
mean,fri_c4_1000_100,20,MAE,0.332716675294759
mean,fri_c4_1000_100,20,MAE,0.445138274759017
mean,fri_c4_1000_100,20,MAE,0.650523984087017
mean,fri_c4_1000_100,20,MAE,0.264325589459109
mean,fri_c4_1000_100,40,MAE,0.199557983289793
mean,fri_c4_1000_100,40,MAE,0.195686376018633
mean,fri_c4_1000_100,40,MAE,0.391935573158403
mean,fri_c4_1000_100,40,MAE,0.420834505174334
mean,fri_c4_1000_100,40,MAE,0.268377307832931
mean,fri_c4_1000_100,60,MAE,0.231896396232099
mean,fri_c4_1000_100,60,MAE,0.177003913451892
mean,fri_c4_1000_100,60,MAE,0.383752921841661
mean,fri_c4_1000_100,60,MAE,0.396041225233975
mean,fri_c4_1000_100,60,MAE,0.298434965620734
knn,sylva_prior,10,MAE,0.0530839948437114
knn,sylva_prior,10,MAE,0.0535196770331707
knn,sylva_prior,10,MAE,0.0537084368087853
knn,sylva_prior,10,MAE,0.0535671321692111
knn,sylva_prior,10,MAE,0.0519847598071565
knn,sylva_prior,20,MAE,0.0680556972192162
knn,sylva_prior,20,MAE,0.0682698662261449
knn,sylva_prior,20,MAE,0.0689044427649762
knn,sylva_prior,20,MAE,0.0663420911049418
knn,sylva_prior,20,MAE,0.0654842165387957
knn,sylva_prior,40,MAE,0.0873343356158988
knn,sylva_prior,40,MAE,0.0882955925891651
knn,sylva_prior,40,MAE,0.0875724595794948
knn,sylva_prior,40,MAE,0.087048613626766
knn,sylva_prior,40,MAE,0.0865603925555315
knn,sylva_prior,60,MAE,0.111770332656834
knn,sylva_prior,60,MAE,0.111785995080406
knn,sylva_prior,60,MAE,0.112030540855229
knn,sylva_prior,60,MAE,0.112061701165517
knn,sylva_prior,60,MAE,0.112061896823961
knn,fri_c4_1000_100,10,MAE,0.29525684726965
knn,fri_c4_1000_100,10,MAE,0.260645784354726
knn,fri_c4_1000_100,10,MAE,0.695330131181976
knn,fri_c4_1000_100,10,MAE,1.09138201658131
knn,fri_c4_1000_100,10,MAE,0.333550304486412
knn,fri_c4_1000_100,20,MAE,0.337945020211134
knn,fri_c4_1000_100,20,MAE,0.211398925230974
knn,fri_c4_1000_100,20,MAE,0.436662834758113
knn,fri_c4_1000_100,20,MAE,0.654043334574531
knn,fri_c4_1000_100,20,MAE,0.278449260915083
knn,fri_c4_1000_100,40,MAE,0.267016731946693
knn,fri_c4_1000_100,40,MAE,0.248589452111858
knn,fri_c4_1000_100,40,MAE,0.37340814261156
knn,fri_c4_1000_100,40,MAE,0.445399044228449
knn,fri_c4_1000_100,40,MAE,0.342474567444627
knn,fri_c4_1000_100,60,MAE,0.276172960183949
knn,fri_c4_1000_100,60,MAE,0.231299669654401
knn,fri_c4_1000_100,60,MAE,0.359996502630882
knn,fri_c4_1000_100,60,MAE,0.348558070536645
knn,fri_c4_1000_100,60,MAE,0.251904673733219
mice,sylva_prior,10,MAE,0.050153181423029
mice,sylva_prior,10,MAE,0.0504067390544379
mice,sylva_prior,10,MAE,0.0495821870823967
mice,sylva_prior,10,MAE,0.0502769134698767
mice,sylva_prior,10,MAE,0.0492576461291876
mice,sylva_prior,20,MAE,0.0603259410072655
mice,sylva_prior,20,MAE,0.0596240028630766
mice,sylva_prior,20,MAE,0.0590732098729358
mice,sylva_prior,20,MAE,0.0582837528210782
mice,sylva_prior,20,MAE,0.0582042942791417
mice,sylva_prior,40,MAE,0.0720611280825386
mice,sylva_prior,40,MAE,0.0730753331968031
mice,sylva_prior,40,MAE,0.0744795423136869
mice,sylva_prior,40,MAE,0.0738127525010347
mice,sylva_prior,40,MAE,0.0726032165290555
mice,sylva_prior,60,MAE,0.085724536979619
mice,sylva_prior,60,MAE,0.0858127747689497
mice,sylva_prior,60,MAE,0.0862126634018629
mice,sylva_prior,60,MAE,0.0859842805709057
mice,sylva_prior,60,MAE,0.0891887151209231
mice,fri_c4_1000_100,10,MAE,0.298430254603817
mice,fri_c4_1000_100,10,MAE,0.271252984053121
mice,fri_c4_1000_100,10,MAE,0.732711632491943
mice,fri_c4_1000_100,10,MAE,1.09657743105276
mice,fri_c4_1000_100,10,MAE,0.551982934669363
mice,fri_c4_1000_100,20,MAE,0.246228425143046
mice,fri_c4_1000_100,20,MAE,0.209086615898763
