Model,Dataset,Missing Rate (%),Métrica,Teste,Mecanismo
mean,sylva_prior,10,MAE,0.0951448218177849,MAR-MEDIAN
mean,sylva_prior,10,MAE,0.0846512223576488,MAR-MEDIAN
mean,sylva_prior,10,MAE,0.0883145290083857,MAR-MEDIAN
mean,sylva_prior,10,MAE,0.0907313423073469,MAR-MEDIAN
mean,sylva_prior,10,MAE,0.0745479083667851,MAR-MEDIAN
mean,sylva_prior,20,MAE,0.0709936159069618,MAR-MEDIAN
mean,sylva_prior,20,MAE,0.0833370282386039,MAR-MEDIAN
mean,sylva_prior,20,MAE,0.0840800439066156,MAR-MEDIAN
mean,sylva_prior,20,MAE,0.0796728607942865,MAR-MEDIAN
mean,sylva_prior,20,MAE,0.0817905567031322,MAR-MEDIAN
mean,sylva_prior,40,MAE,0.0850842718512106,MAR-MEDIAN
mean,sylva_prior,40,MAE,0.10559704347046,MAR-MEDIAN
mean,sylva_prior,40,MAE,0.0847091131974113,MAR-MEDIAN
mean,sylva_prior,40,MAE,0.0718620764714583,MAR-MEDIAN
mean,sylva_prior,40,MAE,0.0810341888312864,MAR-MEDIAN
mean,sylva_prior,60,MAE,0.0793639117836459,MAR-MEDIAN
mean,sylva_prior,60,MAE,0.101070605819773,MAR-MEDIAN
mean,sylva_prior,60,MAE,0.0913702339529238,MAR-MEDIAN
mean,sylva_prior,60,MAE,0.0763483860734835,MAR-MEDIAN
mean,sylva_prior,60,MAE,0.0670527684966682,MAR-MEDIAN
mean,fri_c4_1000_100,10,MAE,1.02846146879491,MAR-MEDIAN
mean,fri_c4_1000_100,10,MAE,0.103987949657684,MAR-MEDIAN
mean,fri_c4_1000_100,10,MAE,0.801338444275777,MAR-MEDIAN
mean,fri_c4_1000_100,10,MAE,0.122624317583943,MAR-MEDIAN
mean,fri_c4_1000_100,10,MAE,0.145610604531659,MAR-MEDIAN
mean,fri_c4_1000_100,20,MAE,0.0863592040133632,MAR-MEDIAN
mean,fri_c4_1000_100,20,MAE,0.108519341561886,MAR-MEDIAN
mean,fri_c4_1000_100,20,MAE,0.129064795123544,MAR-MEDIAN
mean,fri_c4_1000_100,20,MAE,0.198758998556975,MAR-MEDIAN
mean,fri_c4_1000_100,20,MAE,0.111567185583488,MAR-MEDIAN
mean,fri_c4_1000_100,40,MAE,0.124328081721205,MAR-MEDIAN
mean,fri_c4_1000_100,40,MAE,0.0641968190626691,MAR-MEDIAN
mean,fri_c4_1000_100,40,MAE,0.266833980215432,MAR-MEDIAN
mean,fri_c4_1000_100,40,MAE,0.24764159730387,MAR-MEDIAN
mean,fri_c4_1000_100,40,MAE,0.122364402963508,MAR-MEDIAN
mean,fri_c4_1000_100,60,MAE,0.225469152472441,MAR-MEDIAN
mean,fri_c4_1000_100,60,MAE,0.103233065273648,MAR-MEDIAN
mean,fri_c4_1000_100,60,MAE,0.220573921454894,MAR-MEDIAN
mean,fri_c4_1000_100,60,MAE,0.383101189470737,MAR-MEDIAN
mean,fri_c4_1000_100,60,MAE,0.312905949941902,MAR-MEDIAN
knn,sylva_prior,10,MAE,0.0456575212396607,MAR-MEDIAN
knn,sylva_prior,10,MAE,0.04417507880149,MAR-MEDIAN
knn,sylva_prior,10,MAE,0.0429709123502802,MAR-MEDIAN
knn,sylva_prior,10,MAE,0.0384442932892144,MAR-MEDIAN
knn,sylva_prior,10,MAE,0.03481612556841,MAR-MEDIAN
knn,sylva_prior,20,MAE,0.0416022380283555,MAR-MEDIAN
knn,sylva_prior,20,MAE,0.0419041086244318,MAR-MEDIAN
knn,sylva_prior,20,MAE,0.0547515460739159,MAR-MEDIAN
knn,sylva_prior,20,MAE,0.044442694549247,MAR-MEDIAN
knn,sylva_prior,20,MAE,0.0454768947411149,MAR-MEDIAN
knn,sylva_prior,40,MAE,0.0527003681835181,MAR-MEDIAN
