,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9561,0.9297,0.9529
1,wiscosin,20,0.9578,0.9295,0.9573
2,wiscosin,40,0.942,0.8966,0.947
3,wiscosin,60,0.9491,0.906,0.9569
4,pima_diabetes,10,0.7501,0.5379,0.6876
5,pima_diabetes,20,0.7331,0.4481,0.6772
6,pima_diabetes,40,0.7253,0.3885,0.6993
7,pima_diabetes,60,0.7201,0.381,0.6648
8,bc_coimbra,10,0.6457,0.5945,0.6757
9,bc_coimbra,20,0.6899,0.5927,0.7254
10,bc_coimbra,40,0.638,0.48,0.7268
11,bc_coimbra,60,0.5685,0.4945,0.5333
12,indian_liver,10,0.6909,0.8722,0.7442
13,indian_liver,20,0.7202,0.9228,0.7482
14,indian_liver,40,0.703,0.9229,0.7321
15,indian_liver,60,0.7012,0.9396,0.7244
16,parkinsons,10,0.7795,0.9115,0.827
17,parkinsons,20,0.8051,0.9389,0.8333
18,parkinsons,40,0.7744,0.9313,0.8028
19,parkinsons,60,0.7692,0.9389,0.7936
20,mammographic_masses,10,0.7976,0.8211,0.7764
21,mammographic_masses,20,0.8036,0.8261,0.7841
22,mammographic_masses,40,0.7892,0.8063,0.7729
23,mammographic_masses,60,0.7614,0.7369,0.7687
24,hcv_egyptian,10,0.2245,0.2245,0.2245
25,hcv_egyptian,20,0.2339,0.2339,0.2339
26,hcv_egyptian,40,0.2426,0.2426,0.2426
27,hcv_egyptian,60,0.244,0.244,0.244
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8468,0.0,0.0
