,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9544,0.9155,0.9612
1,wiscosin,20,0.9526,0.9107,0.9615
2,wiscosin,40,0.9315,0.8542,0.9622
3,wiscosin,60,0.9332,0.8776,0.9437
4,pima_diabetes,10,0.7566,0.5449,0.6944
5,pima_diabetes,20,0.7513,0.5375,0.6832
6,pima_diabetes,40,0.7071,0.4929,0.5964
7,pima_diabetes,60,0.7006,0.3927,0.6043
8,bc_coimbra,10,0.6815,0.5564,0.7262
9,bc_coimbra,20,0.6388,0.4582,0.6825
10,bc_coimbra,40,0.554,0.28,0.481
11,bc_coimbra,60,0.6207,0.46,0.6598
12,indian_liver,10,0.6978,0.8504,0.7589
13,indian_liver,20,0.7168,0.8455,0.7805
14,indian_liver,40,0.7082,0.8309,0.7824
15,indian_liver,60,0.6703,0.8264,0.7409
16,parkinsons,10,0.7949,0.9184,0.84
17,parkinsons,20,0.7846,0.9115,0.832
18,parkinsons,40,0.7795,0.857,0.8598
19,parkinsons,60,0.7795,0.8975,0.8385
20,mammographic_masses,10,0.7988,0.856,0.762
21,mammographic_masses,20,0.7964,0.8459,0.7617
22,mammographic_masses,40,0.7639,0.8484,0.726
23,mammographic_masses,60,0.7783,0.8462,0.739
24,hcv_egyptian,10,0.2513,0.2513,0.2513
25,hcv_egyptian,20,0.2477,0.2477,0.2477
26,hcv_egyptian,40,0.2491,0.2491,0.2491
27,hcv_egyptian,60,0.2686,0.2686,0.2686
28,thoracic_surgey,10,0.8383,0.0,0.0
29,thoracic_surgey,20,0.8149,0.0286,0.0444
30,thoracic_surgey,40,0.8404,0.0429,0.1
31,thoracic_surgey,60,0.8404,0.0571,0.3067
