,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.594,0.0705,0.2914
1,wiscosin,20,0.587,0.0566,0.2177
2,wiscosin,40,0.5765,0.085,0.2672
3,wiscosin,60,0.6045,0.0996,0.3436
4,pima_diabetes,10,0.651,0.041,0.3971
5,pima_diabetes,20,0.6315,0.0335,0.325
6,pima_diabetes,40,0.6458,0.0597,0.4059
7,pima_diabetes,60,0.6393,0.041,0.345
8,bc_coimbra,10,0.4909,0.3491,0.4091
9,bc_coimbra,20,0.5438,0.5018,0.4967
10,bc_coimbra,40,0.5351,0.3636,0.5133
11,bc_coimbra,60,0.4906,0.3109,0.4327
12,indian_liver,10,0.6978,0.9734,0.7107
13,indian_liver,20,0.7047,0.9831,0.7128
14,indian_liver,40,0.7064,0.9734,0.7172
15,indian_liver,60,0.7133,0.9878,0.7177
16,parkinsons,10,0.7231,0.9453,0.7511
17,parkinsons,20,0.7436,0.9595,0.7624
18,parkinsons,40,0.6974,0.9251,0.7389
19,parkinsons,60,0.7231,0.9313,0.7563
20,mammographic_masses,10,0.4831,0.3447,0.4585
21,mammographic_masses,20,0.5024,0.4119,0.487
22,mammographic_masses,40,0.5036,0.4565,0.4909
23,mammographic_masses,60,0.4783,0.3596,0.447
24,hcv_egyptian,10,0.2404,0.2404,0.2404
25,hcv_egyptian,20,0.2448,0.2448,0.2448
26,hcv_egyptian,40,0.2448,0.2448,0.2448
27,hcv_egyptian,60,0.2693,0.2693,0.2693
28,thoracic_surgey,10,0.8426,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0286,0.4
30,thoracic_surgey,40,0.8468,0.0143,0.1
31,thoracic_surgey,60,0.8468,0.0,0.0
