,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9526,0.9249,0.9478
1,wiscosin,20,0.9596,0.9297,0.9631
2,wiscosin,40,0.9403,0.8966,0.9421
3,wiscosin,60,0.9139,0.8588,0.9071
4,pima_diabetes,10,0.7422,0.4927,0.6805
5,pima_diabetes,20,0.754,0.4815,0.7223
6,pima_diabetes,40,0.724,0.392,0.6835
7,pima_diabetes,60,0.7019,0.3361,0.6411
8,bc_coimbra,10,0.7072,0.6182,0.7343
9,bc_coimbra,20,0.6467,0.6145,0.6717
10,bc_coimbra,40,0.5949,0.4473,0.6178
11,bc_coimbra,60,0.5333,0.4055,0.5479
12,indian_liver,10,0.7185,0.9132,0.75
13,indian_liver,20,0.6943,0.894,0.7382
14,indian_liver,40,0.6875,0.906,0.7252
15,indian_liver,60,0.703,0.9518,0.7215
16,parkinsons,10,0.8154,0.9591,0.8322
17,parkinsons,20,0.8,0.9729,0.8082
18,parkinsons,40,0.7641,0.9124,0.8039
19,parkinsons,60,0.7641,0.9189,0.8016
20,mammographic_masses,10,0.8036,0.8434,0.7752
21,mammographic_masses,20,0.7952,0.8411,0.7645
22,mammographic_masses,40,0.7916,0.8311,0.7621
23,mammographic_masses,60,0.7639,0.7938,0.7426
24,hcv_egyptian,10,0.2513,0.2513,0.2513
25,hcv_egyptian,20,0.239,0.239,0.239
26,hcv_egyptian,40,0.257,0.257,0.257
27,hcv_egyptian,60,0.2513,0.2513,0.2513
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8489,0.0,0.0
