,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9455,0.9155,0.9388
1,wiscosin,20,0.9385,0.8966,0.9398
2,wiscosin,40,0.9244,0.8589,0.9364
3,wiscosin,60,0.9104,0.7927,0.9619
4,pima_diabetes,10,0.7344,0.5449,0.6419
5,pima_diabetes,20,0.7214,0.4741,0.6359
6,pima_diabetes,40,0.6979,0.4818,0.5822
7,pima_diabetes,60,0.6953,0.4968,0.5757
8,bc_coimbra,10,0.6819,0.5818,0.7143
9,bc_coimbra,20,0.6203,0.5545,0.682
10,bc_coimbra,40,0.6203,0.5145,0.5319
11,bc_coimbra,60,0.525,0.2655,0.2412
12,indian_liver,10,0.7134,0.8722,0.7617
13,indian_liver,20,0.6961,0.906,0.7316
14,indian_liver,40,0.6943,0.9445,0.7172
15,indian_liver,60,0.715,0.9807,0.7212
16,parkinsons,10,0.8,0.9526,0.8201
17,parkinsons,20,0.7538,0.9464,0.7779
18,parkinsons,40,0.7436,0.9731,0.7569
19,parkinsons,60,0.7487,0.9864,0.7554
20,mammographic_masses,10,0.7952,0.841,0.7631
21,mammographic_masses,20,0.7916,0.8535,0.7531
22,mammographic_masses,40,0.7663,0.8188,0.7337
23,mammographic_masses,60,0.7795,0.861,0.7323
24,hcv_egyptian,10,0.2477,0.2477,0.2477
25,hcv_egyptian,20,0.2505,0.2505,0.2505
26,hcv_egyptian,40,0.2556,0.2556,0.2556
27,hcv_egyptian,60,0.2274,0.2274,0.2274
28,thoracic_surgey,10,0.8447,0.0286,0.15
29,thoracic_surgey,20,0.8362,0.0,0.0
30,thoracic_surgey,40,0.8362,0.1,0.3857
31,thoracic_surgey,60,0.8149,0.0,0.0
