,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9438,0.8873,0.9597
1,wiscosin,20,0.9016,0.7831,0.9443
2,wiscosin,40,0.8295,0.5711,0.9507
3,wiscosin,60,0.819,0.5377,0.9612
4,pima_diabetes,10,0.7527,0.5192,0.6996
5,pima_diabetes,20,0.7397,0.4625,0.7021
6,pima_diabetes,40,0.7136,0.3773,0.6593
7,pima_diabetes,60,0.6758,0.2876,0.5743
8,bc_coimbra,10,0.6986,0.5964,0.7264
9,bc_coimbra,20,0.6301,0.4855,0.6317
10,bc_coimbra,40,0.6627,0.3982,0.755
11,bc_coimbra,60,0.4837,0.5691,0.4292
12,indian_liver,10,0.7151,0.8626,0.7689
13,indian_liver,20,0.7168,0.906,0.7519
14,indian_liver,40,0.6944,0.9084,0.7294
15,indian_liver,60,0.7186,0.9493,0.7358
16,parkinsons,10,0.7692,0.9186,0.8102
17,parkinsons,20,0.7744,0.9324,0.8087
18,parkinsons,40,0.7487,0.8922,0.8045
19,parkinsons,60,0.7641,0.9179,0.8116
20,mammographic_masses,10,0.7928,0.8659,0.7492
21,mammographic_masses,20,0.7711,0.8585,0.7231
22,mammographic_masses,40,0.7554,0.8482,0.7128
23,mammographic_masses,60,0.7072,0.7917,0.6732
24,hcv_egyptian,10,0.2542,0.2542,0.2542
25,hcv_egyptian,20,0.2448,0.2448,0.2448
26,hcv_egyptian,40,0.2592,0.2592,0.2592
27,hcv_egyptian,60,0.2383,0.2383,0.2383
28,thoracic_surgey,10,0.8489,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0143,0.1
30,thoracic_surgey,40,0.8447,0.0,0.0
31,thoracic_surgey,60,0.8447,0.0,0.0
