,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9086,0.807,0.9403
1,wiscosin,20,0.8506,0.647,0.9304
2,wiscosin,40,0.7381,0.3157,0.9539
3,wiscosin,60,0.6678,0.1275,0.9
4,pima_diabetes,10,0.7462,0.485,0.7033
5,pima_diabetes,20,0.7527,0.4407,0.7443
6,pima_diabetes,40,0.6888,0.2238,0.6678
7,pima_diabetes,60,0.6589,0.0485,0.6833
8,bc_coimbra,10,0.6471,0.5564,0.6834
9,bc_coimbra,20,0.6478,0.4345,0.6307
10,bc_coimbra,40,0.5779,0.2473,0.6533
11,bc_coimbra,60,0.5688,0.0564,0.5
12,indian_liver,10,0.7116,0.9253,0.7389
13,indian_liver,20,0.7116,0.9349,0.7347
14,indian_liver,40,0.7168,0.9566,0.7308
15,indian_liver,60,0.7012,0.9759,0.7125
16,parkinsons,10,0.7795,0.9455,0.8022
17,parkinsons,20,0.7949,0.952,0.8125
18,parkinsons,40,0.7897,0.9726,0.7951
19,parkinsons,60,0.7538,1.0,0.7538
20,mammographic_masses,10,0.7422,0.7614,0.7284
21,mammographic_masses,20,0.7108,0.6429,0.7414
22,mammographic_masses,40,0.5819,0.4104,0.6364
23,mammographic_masses,60,0.547,0.104,0.7443
24,hcv_egyptian,10,0.2412,0.2412,0.2412
25,hcv_egyptian,20,0.2375,0.2375,0.2375
26,hcv_egyptian,40,0.244,0.244,0.244
27,hcv_egyptian,60,0.2621,0.2621,0.2621
28,thoracic_surgey,10,0.8468,0.0143,0.2
29,thoracic_surgey,20,0.8447,0.0286,0.2667
30,thoracic_surgey,40,0.8511,0.0143,0.2
31,thoracic_surgey,60,0.8532,0.0143,0.2
