Model,Dataset,Missing Rate (%),Métrica,Teste
mean,sylva_prior,10,MAE,0.0951448218177849
mean,sylva_prior,10,MAE,0.0846512223576488
mean,sylva_prior,10,MAE,0.0883145290083857
mean,sylva_prior,10,MAE,0.0907313423073469
mean,sylva_prior,10,MAE,0.0745479083667851
mean,sylva_prior,20,MAE,0.0709936159069618
mean,sylva_prior,20,MAE,0.0833370282386039
mean,sylva_prior,20,MAE,0.0840800439066156
mean,sylva_prior,20,MAE,0.0796728607942865
mean,sylva_prior,20,MAE,0.0817905567031322
mean,sylva_prior,40,MAE,0.0850842718512106
mean,sylva_prior,40,MAE,0.10559704347046
mean,sylva_prior,40,MAE,0.0847091131974113
mean,sylva_prior,40,MAE,0.0718620764714583
mean,sylva_prior,40,MAE,0.0810341888312864
mean,sylva_prior,60,MAE,0.0793639117836459
mean,sylva_prior,60,MAE,0.101070605819773
mean,sylva_prior,60,MAE,0.0913702339529238
mean,sylva_prior,60,MAE,0.0763483860734835
mean,sylva_prior,60,MAE,0.0670527684966682
mean,fri_c4_1000_100,10,MAE,1.02846146879491
mean,fri_c4_1000_100,10,MAE,0.103987949657684
mean,fri_c4_1000_100,10,MAE,0.801338444275777
mean,fri_c4_1000_100,10,MAE,0.122624317583943
mean,fri_c4_1000_100,10,MAE,0.145610604531659
mean,fri_c4_1000_100,20,MAE,0.0863592040133632
mean,fri_c4_1000_100,20,MAE,0.108519341561886
mean,fri_c4_1000_100,20,MAE,0.129064795123544
mean,fri_c4_1000_100,20,MAE,0.198758998556975
mean,fri_c4_1000_100,20,MAE,0.111567185583488
mean,fri_c4_1000_100,40,MAE,0.124328081721205
mean,fri_c4_1000_100,40,MAE,0.0641968190626691
mean,fri_c4_1000_100,40,MAE,0.266833980215432
mean,fri_c4_1000_100,40,MAE,0.24764159730387
mean,fri_c4_1000_100,40,MAE,0.122364402963508
mean,fri_c4_1000_100,60,MAE,0.225469152472441
mean,fri_c4_1000_100,60,MAE,0.103233065273648
mean,fri_c4_1000_100,60,MAE,0.220573921454894
mean,fri_c4_1000_100,60,MAE,0.383101189470737
mean,fri_c4_1000_100,60,MAE,0.312905949941902
knn,sylva_prior,10,MAE,0.0456575212396607
knn,sylva_prior,10,MAE,0.04417507880149
knn,sylva_prior,10,MAE,0.0429709123502802
knn,sylva_prior,10,MAE,0.0384442932892144
knn,sylva_prior,10,MAE,0.03481612556841
knn,sylva_prior,20,MAE,0.0416022380283555
knn,sylva_prior,20,MAE,0.0419041086244318
knn,sylva_prior,20,MAE,0.0547515460739159
knn,sylva_prior,20,MAE,0.044442694549247
knn,sylva_prior,20,MAE,0.0454768947411149
knn,sylva_prior,40,MAE,0.0527003681835181
knn,sylva_prior,40,MAE,0.0444090828061171
knn,sylva_prior,40,MAE,0.0509416540077941
knn,sylva_prior,40,MAE,0.0486566930174583
knn,sylva_prior,40,MAE,0.0458767639837949
knn,sylva_prior,60,MAE,0.0481958328446345
knn,sylva_prior,60,MAE,0.0547082983306878
knn,sylva_prior,60,MAE,0.0521487327257498
knn,sylva_prior,60,MAE,0.0492686537434064
knn,sylva_prior,60,MAE,0.0498994499029284
knn,fri_c4_1000_100,10,MAE,0.592440816356975
knn,fri_c4_1000_100,10,MAE,0.576496219651892
knn,fri_c4_1000_100,10,MAE,0.731183477210817
knn,fri_c4_1000_100,10,MAE,0.639378894274297
knn,fri_c4_1000_100,10,MAE,0.319353506977049
knn,fri_c4_1000_100,20,MAE,0.350459749479972
knn,fri_c4_1000_100,20,MAE,0.128316591198647
knn,fri_c4_1000_100,20,MAE,0.131656457472153
knn,fri_c4_1000_100,20,MAE,0.168349618520508
knn,fri_c4_1000_100,20,MAE,0.138848034826715
knn,fri_c4_1000_100,40,MAE,0.236940407665449
knn,fri_c4_1000_100,40,MAE,0.0801134675874933
knn,fri_c4_1000_100,40,MAE,0.139024592285741
