,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9526,0.9249,0.9485
1,wiscosin,20,0.9508,0.9154,0.953
2,wiscosin,40,0.935,0.8776,0.9491
3,wiscosin,60,0.9315,0.8966,0.9207
4,pima_diabetes,10,0.7527,0.5449,0.6823
5,pima_diabetes,20,0.7695,0.5822,0.7108
6,pima_diabetes,40,0.7253,0.5151,0.6394
7,pima_diabetes,60,0.7083,0.5704,0.6036
8,bc_coimbra,10,0.6815,0.5764,0.7375
9,bc_coimbra,20,0.6725,0.6255,0.6495
10,bc_coimbra,40,0.6714,0.5709,0.6497
11,bc_coimbra,60,0.5591,0.3836,0.4357
12,indian_liver,10,0.6909,0.8553,0.7484
13,indian_liver,20,0.6857,0.8337,0.7548
14,indian_liver,40,0.6754,0.8577,0.7349
15,indian_liver,60,0.6772,0.795,0.7627
16,parkinsons,10,0.7692,0.8913,0.8305
17,parkinsons,20,0.8154,0.9186,0.8649
18,parkinsons,40,0.7744,0.843,0.8672
19,parkinsons,60,0.8205,0.911,0.868
20,mammographic_masses,10,0.8096,0.8634,0.7719
21,mammographic_masses,20,0.794,0.8611,0.751
22,mammographic_masses,40,0.7916,0.8409,0.7585
23,mammographic_masses,60,0.7627,0.7993,0.7377
24,hcv_egyptian,10,0.257,0.257,0.257
25,hcv_egyptian,20,0.2621,0.2621,0.2621
26,hcv_egyptian,40,0.252,0.252,0.252
27,hcv_egyptian,60,0.2621,0.2621,0.2621
28,thoracic_surgey,10,0.8468,0.0,0.0
29,thoracic_surgey,20,0.834,0.0286,0.1
30,thoracic_surgey,40,0.8191,0.0571,0.2429
31,thoracic_surgey,60,0.8043,0.0714,0.0435
