,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9543,0.925,0.9518
1,wiscosin,20,0.9631,0.9296,0.9709
2,wiscosin,40,0.9543,0.9203,0.9564
3,wiscosin,60,0.9455,0.9295,0.9271
4,pima_diabetes,10,0.7696,0.5635,0.7187
5,pima_diabetes,20,0.7579,0.534,0.706
6,pima_diabetes,40,0.7539,0.5073,0.7102
7,pima_diabetes,60,0.7449,0.4183,0.7528
8,bc_coimbra,10,0.6989,0.5382,0.7882
9,bc_coimbra,20,0.6554,0.4418,0.7389
10,bc_coimbra,40,0.7072,0.62,0.7933
11,bc_coimbra,60,0.612,0.4364,0.6488
12,indian_liver,10,0.6978,0.8819,0.745
13,indian_liver,20,0.6944,0.8843,0.742
14,indian_liver,40,0.703,0.9349,0.7278
15,indian_liver,60,0.703,0.9301,0.7293
16,parkinsons,10,0.8205,0.9529,0.8426
17,parkinsons,20,0.8,0.9453,0.8267
18,parkinsons,40,0.8,0.9455,0.8233
19,parkinsons,60,0.8,0.9657,0.8111
20,mammographic_masses,10,0.7928,0.8261,0.7678
21,mammographic_masses,20,0.8024,0.8384,0.7752
22,mammographic_masses,40,0.7747,0.856,0.7297
23,mammographic_masses,60,0.7843,0.7671,0.7859
24,hcv_egyptian,10,0.2419,0.2419,0.2419
25,hcv_egyptian,20,0.2339,0.2339,0.2339
26,hcv_egyptian,40,0.257,0.257,0.257
27,hcv_egyptian,60,0.2433,0.2433,0.2433
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8489,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
