,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.791,0.472,0.922
1,wiscosin,20,0.6962,0.1848,1.0
2,wiscosin,40,0.6327,0.014,0.2
3,wiscosin,60,0.6274,0.0,0.0
4,pima_diabetes,10,0.7461,0.5109,0.6834
5,pima_diabetes,20,0.7214,0.373,0.686
6,pima_diabetes,40,0.668,0.1007,0.6694
7,pima_diabetes,60,0.651,0.015,0.22
8,bc_coimbra,10,0.5525,0.3164,0.4166
9,bc_coimbra,20,0.5087,0.3345,0.4544
10,bc_coimbra,40,0.5344,0.02,0.0667
11,bc_coimbra,60,0.5344,0.0182,0.0667
12,indian_liver,10,0.6978,0.9301,0.7257
13,indian_liver,20,0.7116,0.9831,0.7179
14,indian_liver,40,0.7116,0.9952,0.714
15,indian_liver,60,0.703,0.9807,0.7122
16,parkinsons,10,0.7538,0.9593,0.7709
17,parkinsons,20,0.7436,0.9862,0.7511
18,parkinsons,40,0.7538,1.0,0.7538
19,parkinsons,60,0.7538,1.0,0.7538
20,mammographic_masses,10,0.6892,0.5086,0.7757
21,mammographic_masses,20,0.5892,0.5424,0.6762
22,mammographic_masses,40,0.5361,0.0596,0.8357
23,mammographic_masses,60,0.5133,0.01,0.1333
24,hcv_egyptian,10,0.2599,0.2599,0.2599
25,hcv_egyptian,20,0.265,0.265,0.265
26,hcv_egyptian,40,0.2671,0.2671,0.2671
27,hcv_egyptian,60,0.2664,0.2664,0.2664
28,thoracic_surgey,10,0.8489,0.0143,0.2
29,thoracic_surgey,20,0.8489,0.0143,0.0667
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
