,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9491,0.9154,0.9484
1,wiscosin,20,0.9402,0.906,0.9345
2,wiscosin,40,0.928,0.8496,0.9536
3,wiscosin,60,0.9157,0.8024,0.9666
4,pima_diabetes,10,0.7553,0.56,0.6817
5,pima_diabetes,20,0.7266,0.5003,0.6377
6,pima_diabetes,40,0.7071,0.5007,0.6021
7,pima_diabetes,60,0.6875,0.4707,0.5616
8,bc_coimbra,10,0.6641,0.5745,0.7214
9,bc_coimbra,20,0.6634,0.5927,0.7108
10,bc_coimbra,40,0.5859,0.4,0.5191
11,bc_coimbra,60,0.5261,0.3091,0.3523
12,indian_liver,10,0.7306,0.9011,0.7657
13,indian_liver,20,0.7047,0.9011,0.7424
14,indian_liver,40,0.6875,0.9373,0.7143
15,indian_liver,60,0.6995,0.9662,0.7143
16,parkinsons,10,0.7846,0.932,0.8168
17,parkinsons,20,0.759,0.9531,0.78
18,parkinsons,40,0.7487,0.98,0.7588
19,parkinsons,60,0.7538,0.9931,0.7565
20,mammographic_masses,10,0.7964,0.8434,0.7654
21,mammographic_masses,20,0.7892,0.8585,0.7462
22,mammographic_masses,40,0.7566,0.8061,0.7246
23,mammographic_masses,60,0.7711,0.841,0.7294
24,hcv_egyptian,10,0.2585,0.2585,0.2585
25,hcv_egyptian,20,0.2469,0.2469,0.2469
26,hcv_egyptian,40,0.2614,0.2614,0.2614
27,hcv_egyptian,60,0.2606,0.2606,0.2606
28,thoracic_surgey,10,0.8532,0.0429,0.3
29,thoracic_surgey,20,0.8362,0.0143,0.1
30,thoracic_surgey,40,0.8426,0.0857,0.2067
31,thoracic_surgey,60,0.817,0.0429,0.0429
