,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.6186,0.132,0.4612
1,wiscosin,20,0.6115,0.1082,0.4224
2,wiscosin,40,0.6064,0.0659,0.3487
3,wiscosin,60,0.6064,0.1133,0.398
4,pima_diabetes,10,0.6328,0.0448,0.2755
5,pima_diabetes,20,0.6303,0.0223,0.1934
6,pima_diabetes,40,0.6433,0.0375,0.3656
7,pima_diabetes,60,0.6211,0.0374,0.2377
8,bc_coimbra,10,0.5768,0.4782,0.5227
9,bc_coimbra,20,0.5167,0.3055,0.4391
10,bc_coimbra,40,0.5692,0.3836,0.54
11,bc_coimbra,60,0.4736,0.3291,0.4194
12,indian_liver,10,0.7098,0.9807,0.7173
13,indian_liver,20,0.6943,0.9638,0.7112
14,indian_liver,40,0.7081,0.9686,0.72
15,indian_liver,60,0.7133,0.9903,0.7168
16,parkinsons,10,0.7282,0.9589,0.7497
17,parkinsons,20,0.7487,0.9731,0.7607
18,parkinsons,40,0.7333,0.9589,0.7538
19,parkinsons,60,0.7179,0.932,0.7527
20,mammographic_masses,10,0.4771,0.4516,0.4609
21,mammographic_masses,20,0.5265,0.4692,0.5131
22,mammographic_masses,40,0.4759,0.3746,0.4538
23,mammographic_masses,60,0.5157,0.4468,0.5064
24,hcv_egyptian,10,0.2592,0.2592,0.2592
25,hcv_egyptian,20,0.2513,0.2513,0.2513
26,hcv_egyptian,40,0.2412,0.2412,0.2412
27,hcv_egyptian,60,0.2491,0.2491,0.2491
28,thoracic_surgey,10,0.8489,0.0,0.0
29,thoracic_surgey,20,0.8489,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8489,0.0,0.0
