,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.6749,0.1419,0.9156
1,wiscosin,20,0.6397,0.0378,0.9333
2,wiscosin,40,0.6274,0.0,0.0
3,wiscosin,60,0.6274,0.0,0.0
4,pima_diabetes,10,0.7019,0.2948,0.6791
5,pima_diabetes,20,0.668,0.1382,0.6075
6,pima_diabetes,40,0.6523,0.0261,0.45
7,pima_diabetes,60,0.6497,0.0,0.0
8,bc_coimbra,10,0.508,0.4145,0.5896
9,bc_coimbra,20,0.5514,0.1145,0.5
10,bc_coimbra,40,0.5692,0.0364,0.2
11,bc_coimbra,60,0.5518,0.0,0.0
12,indian_liver,10,0.703,0.9614,0.7184
13,indian_liver,20,0.7064,0.9855,0.7133
14,indian_liver,40,0.7133,0.9976,0.7145
15,indian_liver,60,0.715,1.0,0.715
16,parkinsons,10,0.7487,0.9733,0.7612
17,parkinsons,20,0.7487,0.9933,0.7526
18,parkinsons,40,0.7538,1.0,0.7538
19,parkinsons,60,0.7538,1.0,0.7538
20,mammographic_masses,10,0.6434,0.3945,0.7547
21,mammographic_masses,20,0.5783,0.1786,0.7848
22,mammographic_masses,40,0.5193,0.0199,0.7333
23,mammographic_masses,60,0.5181,0.02,0.3167
24,hcv_egyptian,10,0.265,0.265,0.265
25,hcv_egyptian,20,0.2657,0.2657,0.2657
26,hcv_egyptian,40,0.2643,0.2643,0.2643
27,hcv_egyptian,60,0.2679,0.2679,0.2679
28,thoracic_surgey,10,0.8426,0.0571,0.3167
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
