,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9403,0.8781,0.9605
1,wiscosin,20,0.8875,0.7316,0.9588
2,wiscosin,40,0.8665,0.6599,0.9738
3,wiscosin,60,0.8049,0.486,0.9833
4,pima_diabetes,10,0.7527,0.5188,0.6981
5,pima_diabetes,20,0.7331,0.4587,0.6748
6,pima_diabetes,40,0.7252,0.4062,0.6669
7,pima_diabetes,60,0.6667,0.2655,0.5535
8,bc_coimbra,10,0.6891,0.5382,0.8043
9,bc_coimbra,20,0.6464,0.4582,0.7278
10,bc_coimbra,40,0.5511,0.2709,0.5062
11,bc_coimbra,60,0.4913,0.3291,0.4036
12,indian_liver,10,0.6857,0.8505,0.747
13,indian_liver,20,0.6978,0.9036,0.7359
14,indian_liver,40,0.7047,0.9348,0.7288
15,indian_liver,60,0.6823,0.8866,0.7278
16,parkinsons,10,0.7846,0.9384,0.8117
17,parkinsons,20,0.7641,0.912,0.8107
18,parkinsons,40,0.7641,0.9253,0.8009
19,parkinsons,60,0.7641,0.9251,0.7986
20,mammographic_masses,10,0.7892,0.8633,0.7456
21,mammographic_masses,20,0.7614,0.856,0.7155
22,mammographic_masses,40,0.7277,0.8512,0.6796
23,mammographic_masses,60,0.6916,0.6305,0.7353
24,hcv_egyptian,10,0.2542,0.2542,0.2542
25,hcv_egyptian,20,0.2361,0.2361,0.2361
26,hcv_egyptian,40,0.244,0.244,0.244
27,hcv_egyptian,60,0.2253,0.2253,0.2253
28,thoracic_surgey,10,0.8447,0.0143,0.0667
29,thoracic_surgey,20,0.8447,0.0,0.0
30,thoracic_surgey,40,0.8468,0.0,0.0
31,thoracic_surgey,60,0.8489,0.0,0.0
