,Model,Dataset,Missing Rate (%),Métrica,Teste
0,lpr3,wiscosin,10,MAE,0.1390946255669894
1,lpr3,wiscosin,10,MAE,0.12566122407779232
2,lpr3,wiscosin,10,MAE,0.12244075731705652
3,lpr3,wiscosin,10,MAE,0.10005756271821971
4,lpr3,wiscosin,10,MAE,0.12247644756958713
5,lpr3,wiscosin,20,MAE,0.12651379133570392
6,lpr3,wiscosin,20,MAE,0.11578995863637925
7,lpr3,wiscosin,20,MAE,0.1167618711470588
8,lpr3,wiscosin,20,MAE,0.09931303516639572
9,lpr3,wiscosin,20,MAE,0.10509837473473764
10,lpr3,wiscosin,40,MAE,0.12325457269537603
11,lpr3,wiscosin,40,MAE,0.11126606369209933
12,lpr3,wiscosin,40,MAE,0.11919401384602045
13,lpr3,wiscosin,40,MAE,0.09639678786936969
14,lpr3,wiscosin,40,MAE,0.09659616344666884
15,lpr3,wiscosin,60,MAE,0.13579687843381785
16,lpr3,wiscosin,60,MAE,0.12136757994535176
17,lpr3,wiscosin,60,MAE,0.12939888261800161
18,lpr3,wiscosin,60,MAE,0.10648171819279781
19,lpr3,wiscosin,60,MAE,0.10353967399905395
20,lpr3,pima_diabetes,10,MAE,0.1375198539173435
21,lpr3,pima_diabetes,10,MAE,0.10317351820984223
22,lpr3,pima_diabetes,10,MAE,0.12076747242159014
23,lpr3,pima_diabetes,10,MAE,0.1379413427661167
24,lpr3,pima_diabetes,10,MAE,0.08744500978789589
25,lpr3,pima_diabetes,20,MAE,0.121108996019809
26,lpr3,pima_diabetes,20,MAE,0.10512289284543387
27,lpr3,pima_diabetes,20,MAE,0.12009734837737053
28,lpr3,pima_diabetes,20,MAE,0.16923132294342175
29,lpr3,pima_diabetes,20,MAE,0.10839277114009194
30,lpr3,pima_diabetes,40,MAE,0.10840742804155386
31,lpr3,pima_diabetes,40,MAE,0.10396483210959481
32,lpr3,pima_diabetes,40,MAE,0.11201468928634253
33,lpr3,pima_diabetes,40,MAE,0.16193834159965198
34,lpr3,pima_diabetes,40,MAE,0.11542608793074642
35,lpr3,pima_diabetes,60,MAE,0.11131898420012531
36,lpr3,pima_diabetes,60,MAE,0.1111354121649906
37,lpr3,pima_diabetes,60,MAE,0.11695795107461611
38,lpr3,pima_diabetes,60,MAE,0.17731484723481897
39,lpr3,pima_diabetes,60,MAE,0.13250560937280337
40,lpr3,bc_coimbra,10,MAE,0.140578885054441
41,lpr3,bc_coimbra,10,MAE,0.1426823653718141
42,lpr3,bc_coimbra,10,MAE,0.2700830558310286
43,lpr3,bc_coimbra,10,MAE,0.1115894871968672
44,lpr3,bc_coimbra,10,MAE,0.24080962114597795
45,lpr3,bc_coimbra,20,MAE,0.13881850148119942
46,lpr3,bc_coimbra,20,MAE,0.18168388778467862
47,lpr3,bc_coimbra,20,MAE,0.3120835756336341
48,lpr3,bc_coimbra,20,MAE,0.11472397927683094
49,lpr3,bc_coimbra,20,MAE,0.27046459890258223
50,lpr3,bc_coimbra,40,MAE,0.16606568861692583
51,lpr3,bc_coimbra,40,MAE,0.2718855147956257
52,lpr3,bc_coimbra,40,MAE,0.24133030209148992
53,lpr3,bc_coimbra,40,MAE,0.12059330408140116
54,lpr3,bc_coimbra,40,MAE,0.22463650077343683
55,lpr3,bc_coimbra,60,MAE,0.19792936405669218
56,lpr3,bc_coimbra,60,MAE,0.18842868526709303
57,lpr3,bc_coimbra,60,MAE,0.24754352010157388
58,lpr3,bc_coimbra,60,MAE,0.12718137753860614
59,lpr3,bc_coimbra,60,MAE,0.19594066745404953
60,lpr3,indian_liver,10,MAE,0.07761481320653094
61,lpr3,indian_liver,10,MAE,0.06975017074358195
62,lpr3,indian_liver,10,MAE,0.12595790034580706
63,lpr3,indian_liver,10,MAE,0.08559820113756894
64,lpr3,indian_liver,10,MAE,0.14896072736953614
65,lpr3,indian_liver,20,MAE,0.08379855223224789
66,lpr3,indian_liver,20,MAE,0.0772772816330213
67,lpr3,indian_liver,20,MAE,0.12384304705417806
68,lpr3,indian_liver,20,MAE,0.08196471293763737
69,lpr3,indian_liver,20,MAE,0.13870018388805228
70,lpr3,indian_liver,40,MAE,0.07943325452578834
71,lpr3,indian_liver,40,MAE,0.08234576714093807
72,lpr3,indian_liver,40,MAE,0.12035740002066535
73,lpr3,indian_liver,40,MAE,0.07500241148653451
74,lpr3,indian_liver,40,MAE,0.13148060851599036
