,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
0,wiscosin,10,0.0647 ± 0.0107,0.0214 ± 0.0032,0.1778 ± 0.0129,0.1258 ± 0.0195,0.1751 ± 0.0132,0.1221 ± 0.014,0.122 ± 0.0139,0.1222 ± 0.014,0.1219 ± 0.0139
1,wiscosin,20,0.0624 ± 0.0074,0.0223 ± 0.0026,0.1667 ± 0.0112,0.1093 ± 0.0193,0.1642 ± 0.0114,0.113 ± 0.0107,0.1129 ± 0.0106,0.1132 ± 0.0107,0.1127 ± 0.0106
2,wiscosin,40,0.0716 ± 0.0067,0.0286 ± 0.0023,0.1669 ± 0.0126,0.0914 ± 0.0193,0.166 ± 0.0128,0.1101 ± 0.0127,0.1103 ± 0.0126,0.1105 ± 0.0127,0.1094 ± 0.0125
3,wiscosin,60,0.094 ± 0.011,0.0466 ± 0.0042,0.1839 ± 0.0152,0.1145 ± 0.0352,0.1824 ± 0.0155,0.1204 ± 0.014,0.1205 ± 0.014,0.1207 ± 0.014,0.1193 ± 0.0141
4,pima_diabetes,10,0.1009 ± 0.0106,0.1108 ± 0.0161,0.1399 ± 0.0153,0.1332 ± 0.0129,0.1388 ± 0.0156,0.1146 ± 0.0193,0.1175 ± 0.0219,0.1148 ± 0.0193,0.1144 ± 0.0194
5,pima_diabetes,20,0.1085 ± 0.0109,0.1101 ± 0.0084,0.1358 ± 0.0099,0.1459 ± 0.0154,0.1352 ± 0.0103,0.1251 ± 0.0261,0.1253 ± 0.0264,0.1253 ± 0.0261,0.1251 ± 0.0264
6,pima_diabetes,40,0.1079 ± 0.0045,0.112 ± 0.0087,0.1327 ± 0.0111,0.1336 ± 0.0271,0.1322 ± 0.0118,0.121 ± 0.0239,0.1211 ± 0.0239,0.1212 ± 0.0239,0.1204 ± 0.0236
7,pima_diabetes,60,0.111 ± 0.0103,0.1345 ± 0.0179,0.1416 ± 0.0196,0.1245 ± 0.0205,0.1409 ± 0.0203,0.1316 ± 0.0287,0.1317 ± 0.0287,0.1321 ± 0.0292,0.1298 ± 0.0279
8,bc_coimbra,10,0.1568 ± 0.0669,0.1863 ± 0.0861,0.2292 ± 0.0462,0.1911 ± 0.0916,0.201 ± 0.0622,0.1811 ± 0.0697,0.1826 ± 0.076,0.1907 ± 0.0709,0.1828 ± 0.0758
9,bc_coimbra,20,0.208 ± 0.0738,0.202 ± 0.0867,0.2503 ± 0.0394,0.2376 ± 0.0458,0.2274 ± 0.0564,0.2054 ± 0.0845,0.2062 ± 0.0836,0.1952 ± 0.0705,0.205 ± 0.0832
10,bc_coimbra,40,0.1957 ± 0.0612,0.2092 ± 0.0932,0.2312 ± 0.0544,0.2164 ± 0.0534,0.2176 ± 0.0554,0.1949 ± 0.0527,0.1911 ± 0.047,0.1927 ± 0.0483,0.2052 ± 0.0611
