,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2
0,wiscosin,10,0.1044 ± 0.0119,0.0742 ± 0.0045,0.2023 ± 0.0107,0.1395 ± 0.0222,0.1984 ± 0.0095,0.1526 ± 0.0117,0.1527 ± 0.0116,0.1529 ± 0.0116
1,wiscosin,20,0.1116 ± 0.0087,0.0863 ± 0.007,0.1942 ± 0.0096,0.0794 ± 0.0291,0.1918 ± 0.0091,0.1469 ± 0.0091,0.1471 ± 0.009,0.1471 ± 0.0088
2,wiscosin,40,0.1318 ± 0.0101,0.1406 ± 0.012,0.2019 ± 0.0089,0.0564 ± 0.0058,0.2002 ± 0.0092,0.1518 ± 0.0083,0.152 ± 0.0083,0.1522 ± 0.0083
3,wiscosin,60,0.1933 ± 0.0102,0.198 ± 0.0105,0.2285 ± 0.0102,0.0561 ± 0.0062,0.2271 ± 0.0103,0.1803 ± 0.0091,0.1806 ± 0.009,0.1808 ± 0.009
4,pima_diabetes,10,0.1862 ± 0.024,0.2018 ± 0.0194,0.2415 ± 0.0193,0.1523 ± 0.0352,0.2405 ± 0.0189,0.2145 ± 0.0218,0.2185 ± 0.0272,0.2169 ± 0.0245
5,pima_diabetes,20,0.1821 ± 0.0098,0.1962 ± 0.0124,0.2286 ± 0.0151,0.1116 ± 0.0227,0.2279 ± 0.0147,0.205 ± 0.0153,0.2056 ± 0.0153,0.2058 ± 0.0157
6,pima_diabetes,40,0.2144 ± 0.0082,0.2227 ± 0.0139,0.238 ± 0.0123,0.0902 ± 0.0303,0.2375 ± 0.0119,0.2219 ± 0.0143,0.2219 ± 0.0142,0.2228 ± 0.0146
7,pima_diabetes,60,0.2531 ± 0.0092,0.2579 ± 0.0131,0.2587 ± 0.0095,0.077 ± 0.0093,0.2585 ± 0.0096,0.2501 ± 0.0101,0.2502 ± 0.0104,0.2498 ± 0.0095
8,bc_coimbra,10,0.1811 ± 0.0402,0.1967 ± 0.0242,0.263 ± 0.0526,0.164 ± 0.0382,0.2183 ± 0.0509,0.1833 ± 0.0203,0.1837 ± 0.0215,0.1839 ± 0.0203
9,bc_coimbra,20,0.2059 ± 0.04,0.2062 ± 0.0235,0.2581 ± 0.054,0.1304 ± 0.0303,0.219 ± 0.0508,0.1931 ± 0.0233,0.1917 ± 0.0256,0.1961 ± 0.0266
10,bc_coimbra,40,0.2366 ± 0.0471,0.2659 ± 0.0364,0.2735 ± 0.0553,0.1185 ± 0.0399,0.244 ± 0.0552,0.23 ± 0.0461,0.2298 ± 0.0439,0.2296 ± 0.046
11,bc_coimbra,60,0.2809 ± 0.0595,0.2996 ± 0.0553,0.2946 ± 0.0595,0.1085 ± 0.0174,0.2858 ± 0.0625,0.2675 ± 0.0519,0.2679 ± 0.0521,0.2677 ± 0.052
12,indian_liver,10,0.209 ± 0.0092,0.1959 ± 0.0058,0.255 ± 0.0094,0.1557 ± 0.0259,0.2357 ± 0.0093,0.2487 ± 0.0108,0.2485 ± 0.0111,0.2491 ± 0.0111
13,indian_liver,20,0.222 ± 0.0116,0.2038 ± 0.01,0.2445 ± 0.0105,0.1266 ± 0.0421,0.2363 ± 0.0102,0.2382 ± 0.0115,0.2381 ± 0.0112,0.2391 ± 0.0115
14,indian_liver,40,0.1939 ± 0.0065,0.1878 ± 0.0108,0.2076 ± 0.0104,0.1077 ± 0.0084,0.2048 ± 0.0103,0.1941 ± 0.0101,0.1943 ± 0.0099,0.1944 ± 0.0099
15,indian_liver,60,0.192 ± 0.0078,0.1933 ± 0.0089,0.1999 ± 0.0071,0.1014 ± 0.016,0.1978 ± 0.0077,0.186 ± 0.0082,0.1864 ± 0.0081,0.1866 ± 0.0082
16,parkinsons,10,0.1426 ± 0.0264,0.1384 ± 0.024,0.2541 ± 0.0192,0.2213 ± 0.0572,0.2309 ± 0.018,0.1854 ± 0.023,0.1854 ± 0.0198,0.1845 ± 0.025
17,parkinsons,20,0.1723 ± 0.0365,0.1724 ± 0.0216,0.2508 ± 0.0196,0.1525 ± 0.0274,0.2288 ± 0.0162,0.1951 ± 0.0252,0.1955 ± 0.0252,0.1957 ± 0.0253
18,parkinsons,40,0.2058 ± 0.02,0.2264 ± 0.0146,0.2568 ± 0.0143,0.1376 ± 0.0368,0.2432 ± 0.0133,0.2104 ± 0.0194,0.2111 ± 0.0194,0.2112 ± 0.0194
19,parkinsons,60,0.2561 ± 0.0135,0.3223 ± 0.0727,0.2854 ± 0.0116,0.1774 ± 0.0827,0.2811 ± 0.0109,0.2632 ± 0.0066,0.2639 ± 0.0068,0.2661 ± 0.0074
20,mammographic_masses,10,0.1358 ± 0.0119,0.0973 ± 0.0169,0.1626 ± 0.0455,0.1327 ± 0.036,0.2617 ± 0.0124,0.1966 ± 0.0101,0.177 ± 0.0287,0.1947 ± 0.0235
21,mammographic_masses,20,0.2073 ± 0.0145,0.1097 ± 0.0145,0.1675 ± 0.0075,0.1174 ± 0.0517,0.2739 ± 0.0075,0.1975 ± 0.0097,0.1927 ± 0.0101,0.1982 ± 0.0099
22,mammographic_masses,40,0.3382 ± 0.0144,0.1874 ± 0.0235,0.3208 ± 0.0388,0.1617 ± 0.0714,0.34 ± 0.0027,0.2514 ± 0.0052,0.2554 ± 0.0043,0.2548 ± 0.0071
23,mammographic_masses,60,0.4496 ± 0.0044,0.4293 ± 0.0075,0.4896 ± 0.0396,0.2001 ± 0.0473,0.4651 ± 0.0051,0.4288 ± 0.0072,0.428 ± 0.012,0.4302 ± 0.0084
24,hcv_egyptian,10,0.4843 ± 0.0052,0.479 ± 0.0024,0.6143 ± 0.0045,0.3158 ± 0.0334,0.4879 ± 0.0043,0.5034 ± 0.0115,0.5048 ± 0.0113,0.4977 ± 0.007
25,hcv_egyptian,20,0.5116 ± 0.0083,0.5138 ± 0.0046,0.6204 ± 0.0048,0.2399 ± 0.0312,0.5143 ± 0.0047,0.5362 ± 0.0063,0.5362 ± 0.0069,0.5358 ± 0.0051
26,hcv_egyptian,40,0.5837 ± 0.0062,0.5836 ± 0.0049,0.6282 ± 0.0045,0.2155 ± 0.0459,0.5816 ± 0.0045,0.5925 ± 0.0049,0.5925 ± 0.0048,0.5921 ± 0.0054
27,hcv_egyptian,60,0.5863 ± 0.0058,0.5849 ± 0.0063,0.5843 ± 0.0054,0.3079 ± 0.0304,0.5848 ± 0.0056,0.585 ± 0.007,0.5846 ± 0.0065,0.5852 ± 0.0065
28,thoracic_surgey,10,0.1664 ± 0.0056,0.1417 ± 0.0096,0.1975 ± 0.0052,0.1569 ± 0.0195,0.2144 ± 0.0054,0.2148 ± 0.0047,0.2162 ± 0.006,0.208 ± 0.0145
29,thoracic_surgey,20,0.1962 ± 0.0126,0.171 ± 0.0149,0.1899 ± 0.0123,0.146 ± 0.0078,0.2249 ± 0.0111,0.2145 ± 0.0103,0.2136 ± 0.0118,0.2153 ± 0.0114
30,thoracic_surgey,40,0.1919 ± 0.0133,0.235 ± 0.0103,0.1646 ± 0.0135,0.1173 ± 0.0152,0.2046 ± 0.0124,0.1946 ± 0.0124,0.1954 ± 0.0132,0.1969 ± 0.0146
31,thoracic_surgey,60,0.2032 ± 0.0145,0.2151 ± 0.0087,0.1323 ± 0.0096,0.0851 ± 0.0109,0.2041 ± 0.009,0.1952 ± 0.009,0.1939 ± 0.0103,0.1974 ± 0.0086
