,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr2,wiscosin,10,0.1222,0.014
1,lpr2,wiscosin,20,0.1132,0.0107
2,lpr2,wiscosin,40,0.1105,0.0127
3,lpr2,wiscosin,60,0.1207,0.014
4,lpr2,pima_diabetes,10,0.1148,0.0193
5,lpr2,pima_diabetes,20,0.1253,0.0261
6,lpr2,pima_diabetes,40,0.1212,0.0239
7,lpr2,pima_diabetes,60,0.1321,0.0292
8,lpr2,bc_coimbra,10,0.1907,0.0709
9,lpr2,bc_coimbra,20,0.1952,0.0705
10,lpr2,bc_coimbra,40,0.1927,0.0483
11,lpr2,bc_coimbra,60,0.1946,0.0422
12,lpr2,indian_liver,10,0.1024,0.0344
13,lpr2,indian_liver,20,0.102,0.0283
14,lpr2,indian_liver,40,0.0988,0.0264
15,lpr2,indian_liver,60,0.0979,0.023
16,lpr2,parkinsons,10,0.138,0.0444
17,lpr2,parkinsons,20,0.135,0.0341
18,lpr2,parkinsons,40,0.1373,0.0257
19,lpr2,parkinsons,60,0.1463,0.0223
20,lpr2,mammographic_masses,10,0.2556,0.034
21,lpr2,mammographic_masses,20,0.2698,0.0349
22,lpr2,mammographic_masses,40,0.2685,0.0277
23,lpr2,mammographic_masses,60,0.2896,0.0395
24,lpr2,hcv_egyptian,10,0.3127,0.0097
25,lpr2,hcv_egyptian,20,0.3123,0.0104
26,lpr2,hcv_egyptian,40,0.3162,0.0074
27,lpr2,hcv_egyptian,60,0.3149,0.0112
28,lpr2,thoracic_surgey,10,0.1583,0.032
29,lpr2,thoracic_surgey,20,0.1603,0.031
30,lpr2,thoracic_surgey,40,0.1629,0.0252
31,lpr2,thoracic_surgey,60,0.1617,0.0288
