,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mice,wiscosin,10,0.0214,0.0032
1,mice,wiscosin,20,0.0223,0.0026
2,mice,wiscosin,40,0.0286,0.0023
3,mice,wiscosin,60,0.0466,0.0042
4,mice,pima_diabetes,10,0.1108,0.0161
5,mice,pima_diabetes,20,0.1101,0.0084
6,mice,pima_diabetes,40,0.112,0.0087
7,mice,pima_diabetes,60,0.1345,0.0179
8,mice,bc_coimbra,10,0.1863,0.0861
9,mice,bc_coimbra,20,0.202,0.0867
10,mice,bc_coimbra,40,0.2092,0.0932
11,mice,bc_coimbra,60,0.2266,0.0736
12,mice,indian_liver,10,0.0529,0.0365
13,mice,indian_liver,20,0.0597,0.0373
14,mice,indian_liver,40,0.0719,0.0345
15,mice,indian_liver,60,0.0943,0.0511
16,mice,parkinsons,10,0.0648,0.0147
17,mice,parkinsons,20,0.0678,0.022
18,mice,parkinsons,40,0.0918,0.016
19,mice,parkinsons,60,0.1369,0.0103
20,mice,mammographic_masses,10,0.1849,0.0783
21,mice,mammographic_masses,20,0.2171,0.0531
22,mice,mammographic_masses,40,0.2589,0.0516
23,mice,mammographic_masses,60,0.2843,0.0415
24,mice,hcv_egyptian,10,0.3073,0.0097
25,mice,hcv_egyptian,20,0.3089,0.0092
26,mice,hcv_egyptian,40,0.3111,0.008
27,mice,hcv_egyptian,60,0.3646,0.0555
28,mice,thoracic_surgey,10,0.1175,0.0433
29,mice,thoracic_surgey,20,0.1182,0.0355
30,mice,thoracic_surgey,40,0.1584,0.0383
31,mice,thoracic_surgey,60,0.201,0.061
