,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mean,wiscosin,10,0.1123,0.012
1,mean,wiscosin,20,0.0983,0.0107
2,mean,wiscosin,40,0.097,0.0085
3,mean,wiscosin,60,0.1108,0.0088
4,mean,pima_diabetes,10,0.1448,0.0167
5,mean,pima_diabetes,20,0.1123,0.0171
6,mean,pima_diabetes,40,0.127,0.0065
7,mean,pima_diabetes,60,0.1333,0.0187
8,mean,bc_coimbra,10,0.1674,0.0624
9,mean,bc_coimbra,20,0.1706,0.0546
10,mean,bc_coimbra,40,0.1621,0.0321
11,mean,bc_coimbra,60,0.1604,0.0241
12,mean,indian_liver,10,0.124,0.0363
13,mean,indian_liver,20,0.1324,0.0442
14,mean,indian_liver,40,0.1205,0.04
15,mean,indian_liver,60,0.112,0.037
16,mean,parkinsons,10,0.165,0.0218
17,mean,parkinsons,20,0.1423,0.024
18,mean,parkinsons,40,0.1289,0.0041
19,mean,parkinsons,60,0.1567,0.0265
20,mean,mammographic_masses,10,0.2751,0.0719
21,mean,mammographic_masses,20,0.2845,0.0907
22,mean,mammographic_masses,40,0.2672,0.0799
23,mean,mammographic_masses,60,0.2975,0.0251
24,mean,hcv_egyptian,10,0.3249,0.0485
25,mean,hcv_egyptian,20,0.3101,0.0197
26,mean,hcv_egyptian,40,0.324,0.0171
27,mean,hcv_egyptian,60,0.3106,0.0153
28,mean,thoracic_surgey,10,0.1493,0.0283
29,mean,thoracic_surgey,20,0.1593,0.0292
30,mean,thoracic_surgey,40,0.1415,0.0294
31,mean,thoracic_surgey,60,0.1547,0.0252
