,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr1,wiscosin,10,0.0993,0.0223
1,lpr1,wiscosin,20,0.1003,0.0138
2,lpr1,wiscosin,40,0.1106,0.0176
3,lpr1,wiscosin,60,0.102,0.0093
4,lpr1,pima_diabetes,10,0.121,0.0153
5,lpr1,pima_diabetes,20,0.1242,0.011
6,lpr1,pima_diabetes,40,0.1231,0.0071
7,lpr1,pima_diabetes,60,0.124,0.009
8,lpr1,bc_coimbra,10,0.1328,0.0356
9,lpr1,bc_coimbra,20,0.1862,0.0848
10,lpr1,bc_coimbra,40,0.1826,0.0421
11,lpr1,bc_coimbra,60,0.1587,0.0347
12,lpr1,indian_liver,10,0.1082,0.0058
13,lpr1,indian_liver,20,0.1089,0.0125
14,lpr1,indian_liver,40,0.1164,0.0116
15,lpr1,indian_liver,60,0.119,0.0087
16,lpr1,parkinsons,10,0.1315,0.0595
17,lpr1,parkinsons,20,0.119,0.0301
18,lpr1,parkinsons,40,0.1279,0.0265
19,lpr1,parkinsons,60,0.1343,0.0257
20,lpr1,mammographic_masses,10,0.2269,0.0163
21,lpr1,mammographic_masses,20,0.2417,0.0234
22,lpr1,mammographic_masses,40,0.2277,0.0311
23,lpr1,mammographic_masses,60,0.2456,0.0117
24,lpr1,hcv_egyptian,10,0.3182,0.0147
25,lpr1,hcv_egyptian,20,0.3183,0.0083
26,lpr1,hcv_egyptian,40,0.3152,0.0053
27,lpr1,hcv_egyptian,60,0.3168,0.0053
28,lpr1,thoracic_surgey,10,0.1351,0.0206
29,lpr1,thoracic_surgey,20,0.14,0.0208
30,lpr1,thoracic_surgey,40,0.1428,0.0071
31,lpr1,thoracic_surgey,60,0.1463,0.0086
