,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,saei,wiscosin,10,0.1134,0.0145
1,saei,wiscosin,20,0.114,0.0191
2,saei,wiscosin,40,0.1221,0.0065
3,saei,wiscosin,60,0.1372,0.023
4,saei,pima_diabetes,10,0.1378,0.0196
5,saei,pima_diabetes,20,0.1322,0.0087
6,saei,pima_diabetes,40,0.143,0.0143
7,saei,pima_diabetes,60,0.152,0.0166
8,saei,bc_coimbra,10,0.1875,0.057
9,saei,bc_coimbra,20,0.1805,0.11
10,saei,bc_coimbra,40,0.1605,0.0519
11,saei,bc_coimbra,60,0.1752,0.0384
12,saei,indian_liver,10,0.1304,0.0422
13,saei,indian_liver,20,0.1264,0.0098
14,saei,indian_liver,40,0.1188,0.0046
15,saei,indian_liver,60,0.1158,0.0131
16,saei,parkinsons,10,0.1717,0.0561
17,saei,parkinsons,20,0.1568,0.0436
18,saei,parkinsons,40,0.1689,0.0383
19,saei,parkinsons,60,0.158,0.0345
20,saei,mammographic_masses,10,0.2507,0.0311
21,saei,mammographic_masses,20,0.2317,0.0196
22,saei,mammographic_masses,40,0.2462,0.0402
23,saei,mammographic_masses,60,0.2509,0.0116
24,saei,hcv_egyptian,10,0.3242,0.0052
25,saei,hcv_egyptian,20,0.3196,0.0057
26,saei,hcv_egyptian,40,0.3248,0.0072
27,saei,hcv_egyptian,60,0.3247,0.0117
28,saei,thoracic_surgey,10,0.1149,0.0236
29,saei,thoracic_surgey,20,0.1607,0.0491
30,saei,thoracic_surgey,40,0.1321,0.0072
31,saei,thoracic_surgey,60,0.1297,0.0216
