,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,pmivae,wiscosin,10,0.1585,0.0064
1,pmivae,wiscosin,20,0.1552,0.005
2,pmivae,wiscosin,40,0.1547,0.0077
3,pmivae,wiscosin,60,0.1568,0.007
4,pmivae,pima_diabetes,10,0.1952,0.0147
5,pmivae,pima_diabetes,20,0.181,0.0133
6,pmivae,pima_diabetes,40,0.1787,0.011
7,pmivae,pima_diabetes,60,0.183,0.0095
8,pmivae,bc_coimbra,10,0.241,0.0282
9,pmivae,bc_coimbra,20,0.2221,0.0381
10,pmivae,bc_coimbra,40,0.23,0.0371
11,pmivae,bc_coimbra,60,0.2328,0.0373
12,pmivae,indian_liver,10,0.1867,0.0088
13,pmivae,indian_liver,20,0.172,0.005
14,pmivae,indian_liver,40,0.1726,0.0028
15,pmivae,indian_liver,60,0.1637,0.0039
16,pmivae,parkinsons,10,0.2161,0.0203
17,pmivae,parkinsons,20,0.2013,0.012
18,pmivae,parkinsons,40,0.2024,0.0168
19,pmivae,parkinsons,60,0.205,0.0135
20,pmivae,mammographic_masses,10,0.1514,0.0204
21,pmivae,mammographic_masses,20,0.2041,0.0282
22,pmivae,mammographic_masses,40,0.2027,0.0116
23,pmivae,mammographic_masses,60,0.2588,0.0051
24,pmivae,hcv_egyptian,10,0.4554,0.0077
25,pmivae,hcv_egyptian,20,0.4573,0.0092
26,pmivae,hcv_egyptian,40,0.4564,0.0069
27,pmivae,hcv_egyptian,60,0.4512,0.0043
28,pmivae,thoracic_surgey,10,0.1458,0.0137
29,pmivae,thoracic_surgey,20,0.1441,0.0082
30,pmivae,thoracic_surgey,40,0.1417,0.0143
31,pmivae,thoracic_surgey,60,0.1508,0.0132
