,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,pmivae,wiscosin,10,"0,1165","0,0117"
1,pmivae,wiscosin,20,"0,1161","0,0165"
2,pmivae,wiscosin,40,"0,1041","0,009"
3,pmivae,wiscosin,60,"0,1175","0,0119"
4,pmivae,pima_diabetes,10,"0,1306","0,0083"
5,pmivae,pima_diabetes,20,"0,1277","0,0037"
6,pmivae,pima_diabetes,40,"0,1267","0,0183"
7,pmivae,pima_diabetes,60,"0,1276","0,0167"
8,pmivae,bc_coimbra,10,"0,1936","0,0353"
9,pmivae,bc_coimbra,20,"0,2178","0,0644"
10,pmivae,bc_coimbra,40,"0,1852","0,0328"
11,pmivae,bc_coimbra,60,"0,2012","0,0694"
12,pmivae,indian_liver,10,"0,1158","0,0506"
13,pmivae,indian_liver,20,"0,1087","0,0274"
14,pmivae,indian_liver,40,"0,0934","0,0193"
15,pmivae,indian_liver,60,"0,1105","0,0204"
16,pmivae,parkinsons,10,"0,1839","0,0399"
17,pmivae,parkinsons,20,"0,1663","0,0239"
18,pmivae,parkinsons,40,"0,1475","0,0113"
19,pmivae,parkinsons,60,"0,1541","0,0311"
20,pmivae,mammographic_masses,10,"0,2251","0,0643"
21,pmivae,mammographic_masses,20,"0,2159","0,0311"
22,pmivae,mammographic_masses,40,"0,2501","0,0517"
23,pmivae,mammographic_masses,60,"0,2001","0,0493"
24,pmivae,hcv_egyptian,10,"0,3316","0,0322"
25,pmivae,hcv_egyptian,20,"0,2957","0,0233"
26,pmivae,hcv_egyptian,40,"0,3292","0,0198"
27,pmivae,hcv_egyptian,60,"0,3404","0,0151"
28,pmivae,thoracic_surgey,10,"0,1478","0,0544"
29,pmivae,thoracic_surgey,20,"0,1011","0,026"
30,pmivae,thoracic_surgey,40,"0,0862","0,015"
31,pmivae,thoracic_surgey,60,"0,0941","0,0174"
