,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr0,wiscosin,10,0.1227,0.0108
1,lpr0,wiscosin,20,0.1189,0.0105
2,lpr0,wiscosin,40,0.1156,0.008
3,lpr0,wiscosin,60,0.1178,0.0069
4,lpr0,pima_diabetes,10,0.1761,0.016
5,lpr0,pima_diabetes,20,0.1665,0.0139
6,lpr0,pima_diabetes,40,0.1636,0.0129
7,lpr0,pima_diabetes,60,0.1706,0.0103
8,lpr0,bc_coimbra,10,0.1631,0.0349
9,lpr0,bc_coimbra,20,0.1651,0.0083
10,lpr0,bc_coimbra,40,0.1891,0.0233
11,lpr0,bc_coimbra,60,0.2069,0.0397
12,lpr0,indian_liver,10,0.1813,0.0146
13,lpr0,indian_liver,20,0.1768,0.0086
14,lpr0,indian_liver,40,0.1662,0.0073
15,lpr0,indian_liver,60,0.1544,0.0079
16,lpr0,parkinsons,10,0.1468,0.021
17,lpr0,parkinsons,20,0.1549,0.0246
18,lpr0,parkinsons,40,0.1581,0.0191
19,lpr0,parkinsons,60,0.1726,0.0204
20,lpr0,mammographic_masses,10,0.1883,0.0129
21,lpr0,mammographic_masses,20,0.1941,0.0164
22,lpr0,mammographic_masses,40,0.2071,0.009
23,lpr0,mammographic_masses,60,0.2306,0.0066
24,lpr0,hcv_egyptian,10,0.3967,0.0072
25,lpr0,hcv_egyptian,20,0.4055,0.0041
26,lpr0,hcv_egyptian,40,0.4181,0.0042
27,lpr0,hcv_egyptian,60,0.4287,0.0057
28,lpr0,thoracic_surgey,10,0.1747,0.0195
29,lpr0,thoracic_surgey,20,0.1744,0.006
30,lpr0,thoracic_surgey,40,0.1745,0.0103
31,lpr0,thoracic_surgey,60,0.1714,0.0126
