,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9315,0.8875,0.9288
1,wiscosin,20,0.8857,0.803,0.9072
2,wiscosin,40,0.8364,0.7748,0.8491
3,wiscosin,60,0.7134,0.6922,0.7529
4,pima_diabetes,10,0.7553,0.5078,0.7111
5,pima_diabetes,20,0.7318,0.418,0.7077
6,pima_diabetes,40,0.6928,0.4774,0.6333
7,pima_diabetes,60,0.6665,0.4152,0.7045
8,bc_coimbra,10,0.725,0.5982,0.7639
9,bc_coimbra,20,0.613,0.5182,0.6442
10,bc_coimbra,40,0.587,0.5455,0.6381
11,bc_coimbra,60,0.5696,0.2564,0.5524
12,indian_liver,10,0.6892,0.8939,0.732
13,indian_liver,20,0.7064,0.9253,0.7345
14,indian_liver,40,0.7116,0.9638,0.7242
15,indian_liver,60,0.6892,0.8795,0.7435
16,parkinsons,10,0.7846,0.9389,0.814
17,parkinsons,20,0.7846,0.9593,0.8002
18,parkinsons,40,0.7641,0.9526,0.7842
19,parkinsons,60,0.7128,0.8664,0.8099
20,mammographic_masses,10,0.7735,0.811,0.7545
21,mammographic_masses,20,0.747,0.8183,0.7161
22,mammographic_masses,40,0.6819,0.6541,0.7087
23,mammographic_masses,60,0.6084,0.7157,0.5874
24,hcv_egyptian,10,0.2484,0.2484,0.2484
25,hcv_egyptian,20,0.2448,0.2448,0.2448
26,hcv_egyptian,40,0.2433,0.2433,0.2433
27,hcv_egyptian,60,0.2433,0.2433,0.2433
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8277,0.0571,0.2333
31,thoracic_surgey,60,0.8489,0.0,0.0
