,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.5799,0.0755,0.2786
1,wiscosin,20,0.6151,0.123,0.4394
2,wiscosin,40,0.5853,0.1038,0.3614
3,wiscosin,60,0.5711,0.0662,0.2636
4,pima_diabetes,10,0.6315,0.0223,0.1667
5,pima_diabetes,20,0.638,0.0224,0.2567
6,pima_diabetes,40,0.6419,0.0412,0.3302
7,pima_diabetes,60,0.6445,0.056,0.41
8,bc_coimbra,10,0.4754,0.3509,0.3869
9,bc_coimbra,20,0.6297,0.4036,0.6793
10,bc_coimbra,40,0.5264,0.4018,0.4829
11,bc_coimbra,60,0.5181,0.3836,0.4965
12,indian_liver,10,0.7185,0.988,0.7215
13,indian_liver,20,0.6977,0.9685,0.7122
14,indian_liver,40,0.6995,0.9734,0.7119
15,indian_liver,60,0.7047,0.9807,0.7135
16,parkinsons,10,0.7333,0.9382,0.7624
17,parkinsons,20,0.6974,0.9189,0.7415
18,parkinsons,40,0.7231,0.9453,0.751
19,parkinsons,60,0.7436,0.9589,0.7617
20,mammographic_masses,10,0.4795,0.4195,0.4626
21,mammographic_masses,20,0.5072,0.3943,0.496
22,mammographic_masses,40,0.5229,0.4666,0.5083
23,mammographic_masses,60,0.4964,0.3523,0.4755
24,hcv_egyptian,10,0.2484,0.2484,0.2484
25,hcv_egyptian,20,0.2368,0.2368,0.2368
26,hcv_egyptian,40,0.239,0.239,0.239
27,hcv_egyptian,60,0.2412,0.2412,0.2412
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
