,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9491,0.9249,0.9391
1,wiscosin,20,0.9403,0.9013,0.9376
2,wiscosin,40,0.9297,0.8589,0.9495
3,wiscosin,60,0.8998,0.7786,0.945
4,pima_diabetes,10,0.7436,0.5301,0.6693
5,pima_diabetes,20,0.7162,0.4962,0.6194
6,pima_diabetes,40,0.694,0.5157,0.5706
7,pima_diabetes,60,0.681,0.4182,0.5598
8,bc_coimbra,10,0.6471,0.5364,0.7183
9,bc_coimbra,20,0.6967,0.5327,0.5959
10,bc_coimbra,40,0.6638,0.5745,0.7784
11,bc_coimbra,60,0.5946,0.2291,0.6361
12,indian_liver,10,0.7151,0.8746,0.7637
13,indian_liver,20,0.703,0.9036,0.7386
14,indian_liver,40,0.7081,0.959,0.7234
15,indian_liver,60,0.7012,0.9686,0.7149
16,parkinsons,10,0.7897,0.9389,0.8199
17,parkinsons,20,0.7538,0.9531,0.7753
18,parkinsons,40,0.7436,0.9598,0.7628
19,parkinsons,60,0.7538,1.0,0.7538
20,mammographic_masses,10,0.8012,0.8584,0.7645
21,mammographic_masses,20,0.7855,0.8086,0.7658
22,mammographic_masses,40,0.7542,0.7963,0.7258
23,mammographic_masses,60,0.7771,0.8311,0.7423
24,hcv_egyptian,10,0.2354,0.2354,0.2354
25,hcv_egyptian,20,0.2375,0.2375,0.2375
26,hcv_egyptian,40,0.239,0.239,0.239
27,hcv_egyptian,60,0.2484,0.2484,0.2484
28,thoracic_surgey,10,0.8447,0.0143,0.2
29,thoracic_surgey,20,0.8383,0.0,0.0
30,thoracic_surgey,40,0.8447,0.0571,0.1667
31,thoracic_surgey,60,0.8191,0.0857,0.1857
