,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9543,0.9249,0.9519
1,wiscosin,20,0.9491,0.9154,0.9472
2,wiscosin,40,0.9297,0.8636,0.9454
3,wiscosin,60,0.9121,0.8774,0.8897
4,pima_diabetes,10,0.7669,0.5225,0.7337
5,pima_diabetes,20,0.7488,0.504,0.6942
6,pima_diabetes,40,0.7435,0.4552,0.7072
7,pima_diabetes,60,0.7357,0.4144,0.7063
8,bc_coimbra,10,0.6895,0.5927,0.75
9,bc_coimbra,20,0.6725,0.6891,0.663
10,bc_coimbra,40,0.5275,0.3327,0.5701
11,bc_coimbra,60,0.4822,0.3145,0.3867
12,indian_liver,10,0.7013,0.8674,0.754
13,indian_liver,20,0.6857,0.9084,0.7233
14,indian_liver,40,0.703,0.947,0.7236
15,indian_liver,60,0.7013,0.8963,0.7404
16,parkinsons,10,0.7641,0.8989,0.8197
17,parkinsons,20,0.7487,0.8851,0.8083
18,parkinsons,40,0.7949,0.952,0.8118
19,parkinsons,60,0.8103,0.966,0.8207
20,mammographic_masses,10,0.7976,0.836,0.769
21,mammographic_masses,20,0.8012,0.8386,0.7729
22,mammographic_masses,40,0.7976,0.846,0.7641
23,mammographic_masses,60,0.7867,0.8238,0.7587
24,hcv_egyptian,10,0.2404,0.2404,0.2404
25,hcv_egyptian,20,0.2448,0.2448,0.2448
26,hcv_egyptian,40,0.2498,0.2498,0.2498
27,hcv_egyptian,60,0.2477,0.2477,0.2477
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8489,0.0,0.0
30,thoracic_surgey,40,0.8532,0.0286,0.3
31,thoracic_surgey,60,0.8447,0.0,0.0
