,Model,Dataset,Missing Rate (%),Métrica,Teste
0,mean,sylva_prior,10,MAE,0.11940877882808992
1,mean,sylva_prior,10,MAE,0.13427602822977497
2,mean,sylva_prior,10,MAE,0.11174665474577104
3,mean,sylva_prior,10,MAE,0.12186096849115369
4,mean,sylva_prior,10,MAE,0.10527533061627799
5,mean,sylva_prior,20,MAE,0.11804615538574359
6,mean,sylva_prior,20,MAE,0.1266733425047464
7,mean,sylva_prior,20,MAE,0.108361539411465
8,mean,sylva_prior,20,MAE,0.10550925163841363
9,mean,sylva_prior,20,MAE,0.10144726540883538
10,mean,sylva_prior,40,MAE,0.10343303780359746
11,mean,sylva_prior,40,MAE,0.12072396146908773
12,mean,sylva_prior,40,MAE,0.10016617901116238
13,mean,sylva_prior,40,MAE,0.10653518185788788
14,mean,sylva_prior,40,MAE,0.1031059856156731
15,mean,sylva_prior,60,MAE,0.10600425949598476
16,mean,sylva_prior,60,MAE,0.12171650834702114
17,mean,sylva_prior,60,MAE,0.0982354980722396
18,mean,sylva_prior,60,MAE,0.10517135951996093
19,mean,sylva_prior,60,MAE,0.10264678259633928
20,mean,fri_c4_1000_100,10,MAE,1.057694657991452
21,mean,fri_c4_1000_100,10,MAE,0.8493119153514798
22,mean,fri_c4_1000_100,10,MAE,1.3874589800038604
23,mean,fri_c4_1000_100,10,MAE,0.45531075947604477
24,mean,fri_c4_1000_100,10,MAE,0.33089147127936586
25,mean,fri_c4_1000_100,20,MAE,0.5915556604034942
26,mean,fri_c4_1000_100,20,MAE,0.4746992696503629
27,mean,fri_c4_1000_100,20,MAE,0.7573886334180799
28,mean,fri_c4_1000_100,20,MAE,0.292501167279196
29,mean,fri_c4_1000_100,20,MAE,0.24553879937961426
30,mean,fri_c4_1000_100,40,MAE,0.3576102370287481
31,mean,fri_c4_1000_100,40,MAE,0.28764601864638784
32,mean,fri_c4_1000_100,40,MAE,0.43628850894007515
33,mean,fri_c4_1000_100,40,MAE,0.20910663623054446
34,mean,fri_c4_1000_100,40,MAE,0.18658042880079256
35,mean,fri_c4_1000_100,60,MAE,0.27963565790665124
36,mean,fri_c4_1000_100,60,MAE,0.22798294781332606
37,mean,fri_c4_1000_100,60,MAE,0.3322391042474274
38,mean,fri_c4_1000_100,60,MAE,0.181159636180104
39,mean,fri_c4_1000_100,60,MAE,0.16610650869412907
