,Model,Dataset,Missing Rate (%),Métrica,Teste
0,mean,sylva_prior,10,MAE,0.0813403812636163
1,mean,sylva_prior,10,MAE,0.0793350215827233
2,mean,sylva_prior,10,MAE,0.07888380937318898
3,mean,sylva_prior,10,MAE,0.08056740194725463
4,mean,sylva_prior,10,MAE,0.08113134166727445
5,mean,sylva_prior,20,MAE,0.08074016001283776
6,mean,sylva_prior,20,MAE,0.07989859071078156
7,mean,sylva_prior,20,MAE,0.07991135337860605
8,mean,sylva_prior,20,MAE,0.0798599004997353
9,mean,sylva_prior,20,MAE,0.07965212442770053
10,mean,sylva_prior,40,MAE,0.08086766397800191
11,mean,sylva_prior,40,MAE,0.08020366335277271
12,mean,sylva_prior,40,MAE,0.07994911612703523
13,mean,sylva_prior,40,MAE,0.07981016423301025
14,mean,sylva_prior,40,MAE,0.07994139762201195
15,mean,sylva_prior,60,MAE,0.08045168318703189
16,mean,sylva_prior,60,MAE,0.08039938787923112
17,mean,sylva_prior,60,MAE,0.08086198015811251
18,mean,sylva_prior,60,MAE,0.08112529070082682
19,mean,sylva_prior,60,MAE,0.08054622210707958
20,mean,fri_c4_1000_100,10,MAE,0.5349910489889841
21,mean,fri_c4_1000_100,10,MAE,0.10943864497059157
22,mean,fri_c4_1000_100,10,MAE,0.11553399159442093
23,mean,fri_c4_1000_100,10,MAE,0.2476114405334026
24,mean,fri_c4_1000_100,10,MAE,0.13837545559056316
25,mean,fri_c4_1000_100,20,MAE,0.3112714744836426
26,mean,fri_c4_1000_100,20,MAE,0.10539199032545156
27,mean,fri_c4_1000_100,20,MAE,0.2449276584799098
28,mean,fri_c4_1000_100,20,MAE,0.19404484184430848
29,mean,fri_c4_1000_100,20,MAE,0.23356819114921196
30,mean,fri_c4_1000_100,40,MAE,0.19815180791871181
31,mean,fri_c4_1000_100,40,MAE,0.22152622609972855
32,mean,fri_c4_1000_100,40,MAE,0.31816969467665096
33,mean,fri_c4_1000_100,40,MAE,0.25411181424858625
34,mean,fri_c4_1000_100,40,MAE,0.25438537455466237
35,mean,fri_c4_1000_100,60,MAE,0.1870800805298185
36,mean,fri_c4_1000_100,60,MAE,0.13705912971554596
37,mean,fri_c4_1000_100,60,MAE,0.23222096119501412
38,mean,fri_c4_1000_100,60,MAE,0.25361402854451237
39,mean,fri_c4_1000_100,60,MAE,0.23453863861878874
