,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr5,wiscosin,10,0.1096,0.0115
1,lpr5,wiscosin,20,0.1057,0.0072
2,lpr5,wiscosin,40,0.1023,0.0091
3,lpr5,wiscosin,60,0.1017,0.0114
4,lpr5,pima_diabetes,10,0.1428,0.0352
5,lpr5,pima_diabetes,20,0.1212,0.0166
6,lpr5,pima_diabetes,40,0.1182,0.0114
7,lpr5,pima_diabetes,60,0.1262,0.0093
8,lpr5,bc_coimbra,10,0.162,0.0504
9,lpr5,bc_coimbra,20,0.176,0.0585
10,lpr5,bc_coimbra,40,0.1657,0.0495
11,lpr5,bc_coimbra,60,0.1747,0.034
12,lpr5,indian_liver,10,0.1043,0.0141
13,lpr5,indian_liver,20,0.1174,0.0256
14,lpr5,indian_liver,40,0.1092,0.005
15,lpr5,indian_liver,60,0.1178,0.0129
16,lpr5,parkinsons,10,0.1218,0.0365
17,lpr5,parkinsons,20,0.1455,0.0634
18,lpr5,parkinsons,40,0.1409,0.02
19,lpr5,parkinsons,60,0.1396,0.0281
20,lpr5,mammographic_masses,10,0.2501,0.0288
21,lpr5,mammographic_masses,20,0.2522,0.0174
22,lpr5,mammographic_masses,40,0.2423,0.0407
23,lpr5,mammographic_masses,60,0.2481,0.0119
24,lpr5,hcv_egyptian,10,0.3119,0.007
25,lpr5,hcv_egyptian,20,0.3173,0.0048
26,lpr5,hcv_egyptian,40,0.317,0.0028
27,lpr5,hcv_egyptian,60,0.3164,0.002
28,lpr5,thoracic_surgey,10,0.1275,0.0109
29,lpr5,thoracic_surgey,20,0.1295,0.0181
30,lpr5,thoracic_surgey,40,0.14,0.0149
31,lpr5,thoracic_surgey,60,0.1391,0.0078
