,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mice,wiscosin,10,0.0768,0.0134
1,mice,wiscosin,20,0.0735,0.0175
2,mice,wiscosin,40,0.0764,0.0132
3,mice,wiscosin,60,0.0893,0.0163
4,mice,pima_diabetes,10,0.1273,0.0061
5,mice,pima_diabetes,20,0.1241,0.0093
6,mice,pima_diabetes,40,0.1252,0.0054
7,mice,pima_diabetes,60,0.1258,0.0054
8,mice,bc_coimbra,10,0.1472,0.0404
9,mice,bc_coimbra,20,0.1546,0.0303
10,mice,bc_coimbra,40,0.1755,0.0526
11,mice,bc_coimbra,60,0.1662,0.0519
12,mice,indian_liver,10,0.1385,0.0641
13,mice,indian_liver,20,0.1039,0.0086
14,mice,indian_liver,40,0.1129,0.0097
15,mice,indian_liver,60,0.119,0.0145
16,mice,parkinsons,10,0.1477,0.0863
17,mice,parkinsons,20,0.1183,0.0368
18,mice,parkinsons,40,0.1198,0.0358
19,mice,parkinsons,60,0.1325,0.0494
20,mice,mammographic_masses,10,0.2777,0.0083
21,mice,mammographic_masses,20,0.2739,0.0064
22,mice,mammographic_masses,40,0.2574,0.0064
23,mice,mammographic_masses,60,0.2481,0.0095
24,mice,hcv_egyptian,10,0.3164,0.0064
25,mice,hcv_egyptian,20,0.3191,0.0062
26,mice,hcv_egyptian,40,0.3166,0.0042
27,mice,hcv_egyptian,60,0.3191,0.0093
28,mice,thoracic_surgey,10,0.1627,0.0189
29,mice,thoracic_surgey,20,0.1371,0.0147
30,mice,thoracic_surgey,40,0.1408,0.0108
31,mice,thoracic_surgey,60,0.1479,0.0104
