,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,knn,wiscosin,10,0.0766,0.0121
1,knn,wiscosin,20,0.0827,0.0077
2,knn,wiscosin,40,0.0924,0.0076
3,knn,wiscosin,60,0.1062,0.008
4,knn,pima_diabetes,10,0.1585,0.0118
5,knn,pima_diabetes,20,0.1561,0.013
6,knn,pima_diabetes,40,0.1592,0.008
7,knn,pima_diabetes,60,0.1761,0.0114
8,knn,bc_coimbra,10,0.1806,0.0327
9,knn,bc_coimbra,20,0.1853,0.0234
10,knn,bc_coimbra,40,0.1956,0.0222
11,knn,bc_coimbra,60,0.1917,0.0373
12,knn,indian_liver,10,0.1478,0.0112
13,knn,indian_liver,20,0.1604,0.0046
14,knn,indian_liver,40,0.169,0.0145
15,knn,indian_liver,60,0.1603,0.0056
16,knn,parkinsons,10,0.1117,0.0268
17,knn,parkinsons,20,0.1211,0.0243
18,knn,parkinsons,40,0.1448,0.0214
19,knn,parkinsons,60,0.1679,0.0191
20,knn,mammographic_masses,10,0.1455,0.0219
21,knn,mammographic_masses,20,0.1884,0.0284
22,knn,mammographic_masses,40,0.2358,0.0218
23,knn,mammographic_masses,60,0.2337,0.0104
24,knn,hcv_egyptian,10,0.3998,0.007
25,knn,hcv_egyptian,20,0.4072,0.0048
26,knn,hcv_egyptian,40,0.4256,0.0079
27,knn,hcv_egyptian,60,0.4321,0.0058
28,knn,thoracic_surgey,10,0.1381,0.0171
29,knn,thoracic_surgey,20,0.1617,0.0046
30,knn,thoracic_surgey,40,0.1869,0.01
31,knn,thoracic_surgey,60,0.1807,0.0112
