,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.5729,0.1086,0.2986
1,wiscosin,20,0.5958,0.0802,0.3759
2,wiscosin,40,0.6044,0.0989,0.4145
3,wiscosin,60,0.5975,0.0662,0.2435
4,pima_diabetes,10,0.6315,0.0414,0.2108
5,pima_diabetes,20,0.642,0.0521,0.455
6,pima_diabetes,40,0.6368,0.0675,0.349
7,pima_diabetes,60,0.6354,0.0375,0.2933
8,bc_coimbra,10,0.4822,0.3473,0.3943
9,bc_coimbra,20,0.4732,0.4036,0.4194
10,bc_coimbra,40,0.5188,0.3127,0.4222
11,bc_coimbra,60,0.5004,0.3855,0.4288
12,indian_liver,10,0.6943,0.971,0.7089
13,indian_liver,20,0.7081,0.9807,0.716
14,indian_liver,40,0.703,0.9807,0.7123
15,indian_liver,60,0.6977,0.9686,0.7122
16,parkinsons,10,0.7026,0.912,0.7489
17,parkinsons,20,0.7231,0.9451,0.7508
18,parkinsons,40,0.7436,0.9393,0.7733
19,parkinsons,60,0.7128,0.9391,0.7462
20,mammographic_masses,10,0.5096,0.4394,0.495
21,mammographic_masses,20,0.5084,0.4564,0.4916
22,mammographic_masses,40,0.5108,0.427,0.4937
23,mammographic_masses,60,0.4976,0.4389,0.4801
24,hcv_egyptian,10,0.2505,0.2505,0.2505
25,hcv_egyptian,20,0.2484,0.2484,0.2484
26,hcv_egyptian,40,0.252,0.252,0.252
27,hcv_egyptian,60,0.2527,0.2527,0.2527
28,thoracic_surgey,10,0.8447,0.0,0.0
29,thoracic_surgey,20,0.8468,0.0,0.0
30,thoracic_surgey,40,0.8468,0.0,0.0
31,thoracic_surgey,60,0.8468,0.0143,0.2
