,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9596,0.9392,0.9527
1,wiscosin,20,0.9613,0.939,0.9578
2,wiscosin,40,0.9578,0.9297,0.9568
3,wiscosin,60,0.9491,0.9249,0.94
4,pima_diabetes,10,0.7656,0.5559,0.7129
5,pima_diabetes,20,0.7592,0.534,0.7086
6,pima_diabetes,40,0.754,0.5338,0.7056
7,pima_diabetes,60,0.7423,0.5153,0.6735
8,bc_coimbra,10,0.6471,0.5236,0.6755
9,bc_coimbra,20,0.6464,0.5545,0.6339
10,bc_coimbra,40,0.6475,0.5527,0.6922
11,bc_coimbra,60,0.6377,0.5127,0.6538
12,indian_liver,10,0.715,0.8794,0.7615
13,indian_liver,20,0.6996,0.865,0.7531
14,indian_liver,40,0.6978,0.8988,0.7375
15,indian_liver,60,0.7099,0.9036,0.7482
16,parkinsons,10,0.8,0.9457,0.8252
17,parkinsons,20,0.8103,0.9662,0.8212
18,parkinsons,40,0.8205,0.9462,0.849
19,parkinsons,60,0.7949,0.9253,0.8353
20,mammographic_masses,10,0.8,0.8459,0.7678
21,mammographic_masses,20,0.8048,0.8635,0.766
22,mammographic_masses,40,0.7976,0.8484,0.7628
23,mammographic_masses,60,0.7819,0.8486,0.7406
24,hcv_egyptian,10,0.2498,0.2498,0.2498
25,hcv_egyptian,20,0.2455,0.2455,0.2455
26,hcv_egyptian,40,0.2477,0.2477,0.2477
27,hcv_egyptian,60,0.2606,0.2606,0.2606
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8489,0.0,0.0
