,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9561,0.9343,0.9491
1,wiscosin,20,0.9456,0.9013,0.9515
2,wiscosin,40,0.9403,0.8824,0.9553
3,wiscosin,60,0.935,0.8777,0.9472
4,pima_diabetes,10,0.7579,0.5334,0.7096
5,pima_diabetes,20,0.7422,0.5222,0.6652
6,pima_diabetes,40,0.7358,0.4929,0.6702
7,pima_diabetes,60,0.711,0.4704,0.6117
8,bc_coimbra,10,0.6728,0.5182,0.7365
9,bc_coimbra,20,0.6884,0.5691,0.7522
10,bc_coimbra,40,0.7076,0.6345,0.7138
11,bc_coimbra,60,0.621,0.4655,0.6444
12,indian_liver,10,0.734,0.8891,0.7748
13,indian_liver,20,0.6943,0.865,0.7479
14,indian_liver,40,0.7151,0.8986,0.7535
15,indian_liver,60,0.7013,0.8528,0.7601
16,parkinsons,10,0.7692,0.8913,0.8305
17,parkinsons,20,0.8256,0.9251,0.8688
18,parkinsons,40,0.8103,0.8841,0.8726
19,parkinsons,60,0.7897,0.9529,0.8084
20,mammographic_masses,10,0.7976,0.8435,0.7648
21,mammographic_masses,20,0.7964,0.8433,0.7654
22,mammographic_masses,40,0.794,0.8511,0.7553
23,mammographic_masses,60,0.7759,0.8085,0.7521
24,hcv_egyptian,10,0.2542,0.2542,0.2542
25,hcv_egyptian,20,0.2498,0.2498,0.2498
26,hcv_egyptian,40,0.2491,0.2491,0.2491
27,hcv_egyptian,60,0.2469,0.2469,0.2469
28,thoracic_surgey,10,0.8404,0.0286,0.14
29,thoracic_surgey,20,0.8447,0.0286,0.1167
30,thoracic_surgey,40,0.8468,0.1143,0.4822
31,thoracic_surgey,60,0.8426,0.0571,0.2733
