,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9578,0.9343,0.9535
1,wiscosin,20,0.9578,0.9296,0.9573
2,wiscosin,40,0.9543,0.9155,0.9605
3,wiscosin,60,0.9473,0.8971,0.9603
4,pima_diabetes,10,0.7787,0.5671,0.7457
5,pima_diabetes,20,0.7631,0.5487,0.7116
6,pima_diabetes,40,0.7409,0.4927,0.682
7,pima_diabetes,60,0.7513,0.5151,0.694
8,bc_coimbra,10,0.6547,0.52,0.7112
9,bc_coimbra,20,0.6464,0.4818,0.7541
10,bc_coimbra,40,0.6467,0.4982,0.6798
11,bc_coimbra,60,0.6562,0.4582,0.6909
12,indian_liver,10,0.7029,0.9035,0.7407
13,indian_liver,20,0.6771,0.8794,0.7258
14,indian_liver,40,0.7237,0.9518,0.7376
15,indian_liver,60,0.703,0.9349,0.7288
16,parkinsons,10,0.7949,0.9317,0.8314
17,parkinsons,20,0.8205,0.9393,0.8554
18,parkinsons,40,0.7897,0.9384,0.819
19,parkinsons,60,0.7949,0.9451,0.818
20,mammographic_masses,10,0.8036,0.8435,0.7749
21,mammographic_masses,20,0.7988,0.8235,0.7783
22,mammographic_masses,40,0.7771,0.801,0.758
23,mammographic_masses,60,0.7434,0.846,0.6976
24,hcv_egyptian,10,0.2383,0.2383,0.2383
25,hcv_egyptian,20,0.2339,0.2339,0.2339
26,hcv_egyptian,40,0.2404,0.2404,0.2404
27,hcv_egyptian,60,0.2412,0.2412,0.2412
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
