,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9279,0.8447,0.9599
1,wiscosin,20,0.8964,0.7695,0.9434
2,wiscosin,40,0.8542,0.6286,0.9679
3,wiscosin,60,0.798,0.4817,0.9513
4,pima_diabetes,10,0.7422,0.4926,0.68
5,pima_diabetes,20,0.7409,0.4478,0.709
6,pima_diabetes,40,0.7136,0.3735,0.6623
7,pima_diabetes,60,0.6875,0.19,0.7037
8,bc_coimbra,10,0.6815,0.6182,0.727
9,bc_coimbra,20,0.6728,0.4655,0.8714
10,bc_coimbra,40,0.629,0.3982,0.6947
11,bc_coimbra,60,0.5507,0.4436,0.5117
12,indian_liver,10,0.7012,0.9035,0.7385
13,indian_liver,20,0.6995,0.889,0.7432
14,indian_liver,40,0.7064,0.9349,0.7301
15,indian_liver,60,0.7047,0.9566,0.7217
16,parkinsons,10,0.8051,0.9455,0.8316
17,parkinsons,20,0.8154,0.9664,0.8256
18,parkinsons,40,0.7949,0.9453,0.8237
19,parkinsons,60,0.7744,0.9191,0.8149
20,mammographic_masses,10,0.7831,0.851,0.7412
21,mammographic_masses,20,0.7687,0.8857,0.7104
22,mammographic_masses,40,0.7289,0.8313,0.6941
23,mammographic_masses,60,0.6916,0.7957,0.6696
24,hcv_egyptian,10,0.2455,0.2455,0.2455
25,hcv_egyptian,20,0.2563,0.2563,0.2563
26,hcv_egyptian,40,0.2375,0.2375,0.2375
27,hcv_egyptian,60,0.2498,0.2498,0.2498
28,thoracic_surgey,10,0.8468,0.0,0.0
29,thoracic_surgey,20,0.8447,0.0286,0.15
30,thoracic_surgey,40,0.8489,0.0,0.0
31,thoracic_surgey,60,0.8404,0.0429,0.075
