,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9508,0.9343,0.9372
1,wiscosin,20,0.9385,0.9109,0.926
2,wiscosin,40,0.9191,0.878,0.9058
3,wiscosin,60,0.8542,0.731,0.8629
4,pima_diabetes,10,0.7487,0.5041,0.7
5,pima_diabetes,20,0.7526,0.4848,0.7208
6,pima_diabetes,40,0.7202,0.4033,0.6649
7,pima_diabetes,60,0.6966,0.3025,0.6541
8,bc_coimbra,10,0.6812,0.6164,0.7156
9,bc_coimbra,20,0.6554,0.4655,0.7643
10,bc_coimbra,40,0.5859,0.3309,0.5661
11,bc_coimbra,60,0.5612,0.4309,0.5236
12,indian_liver,10,0.7064,0.906,0.7426
13,indian_liver,20,0.6943,0.9011,0.7338
14,indian_liver,40,0.7081,0.9397,0.7294
15,indian_liver,60,0.7133,0.959,0.7272
16,parkinsons,10,0.7897,0.9251,0.8289
17,parkinsons,20,0.8,0.9315,0.8348
18,parkinsons,40,0.7795,0.9386,0.808
19,parkinsons,60,0.759,0.9115,0.8028
20,mammographic_masses,10,0.7843,0.8212,0.7589
21,mammographic_masses,20,0.7614,0.7865,0.7414
22,mammographic_masses,40,0.7422,0.7393,0.7316
23,mammographic_masses,60,0.6928,0.677,0.6894
24,hcv_egyptian,10,0.2412,0.2412,0.2412
25,hcv_egyptian,20,0.2469,0.2469,0.2469
26,hcv_egyptian,40,0.2397,0.2397,0.2397
27,hcv_egyptian,60,0.2592,0.2592,0.2592
28,thoracic_surgey,10,0.8468,0.0,0.0
29,thoracic_surgey,20,0.8532,0.0143,0.2
30,thoracic_surgey,40,0.8489,0.0,0.0
31,thoracic_surgey,60,0.8489,0.0,0.0
