,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9438,0.9203,0.9302
1,wiscosin,20,0.9297,0.8775,0.9326
2,wiscosin,40,0.9297,0.8636,0.9451
3,wiscosin,60,0.9087,0.788,0.9623
4,pima_diabetes,10,0.7358,0.5526,0.6419
5,pima_diabetes,20,0.737,0.5339,0.6535
6,pima_diabetes,40,0.6967,0.4936,0.5769
7,pima_diabetes,60,0.6667,0.4298,0.5257
8,bc_coimbra,10,0.6475,0.5382,0.6974
9,bc_coimbra,20,0.6634,0.5927,0.6968
10,bc_coimbra,40,0.604,0.4618,0.6667
11,bc_coimbra,60,0.4928,0.2909,0.4509
12,indian_liver,10,0.7219,0.889,0.7636
13,indian_liver,20,0.703,0.9132,0.7366
14,indian_liver,40,0.7047,0.9542,0.7225
15,indian_liver,60,0.6857,0.9446,0.7104
16,parkinsons,10,0.7744,0.9184,0.8167
17,parkinsons,20,0.759,0.9531,0.7792
18,parkinsons,40,0.7333,0.96,0.7548
19,parkinsons,60,0.7538,0.9933,0.7568
20,mammographic_masses,10,0.8,0.8534,0.7644
21,mammographic_masses,20,0.7831,0.8436,0.7452
22,mammographic_masses,40,0.7735,0.8012,0.75
23,mammographic_masses,60,0.7639,0.8312,0.724
24,hcv_egyptian,10,0.2383,0.2383,0.2383
25,hcv_egyptian,20,0.2426,0.2426,0.2426
26,hcv_egyptian,40,0.252,0.252,0.252
27,hcv_egyptian,60,0.2484,0.2484,0.2484
28,thoracic_surgey,10,0.8447,0.0,0.0
29,thoracic_surgey,20,0.8362,0.0143,0.04
30,thoracic_surgey,40,0.8319,0.0714,0.25
31,thoracic_surgey,60,0.8319,0.0571,0.2
