,Model,Dataset,Missing Rate (%),Métrica,Teste
0,mean,wiscosin,10,MAE,0.16232403906674767
1,mean,wiscosin,10,MAE,0.15447179758858842
2,mean,wiscosin,10,MAE,0.16347271493808577
3,mean,wiscosin,10,MAE,0.1483066174262946
4,mean,wiscosin,10,MAE,0.16144603202555824
5,mean,wiscosin,20,MAE,0.1609465410814382
6,mean,wiscosin,20,MAE,0.15627953142104836
7,mean,wiscosin,20,MAE,0.15783728765987567
8,mean,wiscosin,20,MAE,0.1451769376519397
9,mean,wiscosin,20,MAE,0.15567618237566697
10,mean,wiscosin,40,MAE,0.1596094153352285
11,mean,wiscosin,40,MAE,0.15353154231156688
12,mean,wiscosin,40,MAE,0.15595378247958636
13,mean,wiscosin,40,MAE,0.1436031435659197
14,mean,wiscosin,40,MAE,0.1476641536017964
15,mean,wiscosin,60,MAE,0.16096098575459594
16,mean,wiscosin,60,MAE,0.15976753025058313
17,mean,wiscosin,60,MAE,0.16451395965137158
18,mean,wiscosin,60,MAE,0.1494921211641895
19,mean,wiscosin,60,MAE,0.14976297825174428
20,mean,pima_diabetes,10,MAE,0.19348392501998268
21,mean,pima_diabetes,10,MAE,0.19553227799154255
22,mean,pima_diabetes,10,MAE,0.19798134185120828
23,mean,pima_diabetes,10,MAE,0.20539602361106513
24,mean,pima_diabetes,10,MAE,0.1778203154595086
25,mean,pima_diabetes,20,MAE,0.18172938694117474
26,mean,pima_diabetes,20,MAE,0.17075255983659673
27,mean,pima_diabetes,20,MAE,0.180846770171555
28,mean,pima_diabetes,20,MAE,0.19571923353468504
29,mean,pima_diabetes,20,MAE,0.1658145441059105
30,mean,pima_diabetes,40,MAE,0.17958896512221484
31,mean,pima_diabetes,40,MAE,0.1752896054659826
32,mean,pima_diabetes,40,MAE,0.1802514632374816
33,mean,pima_diabetes,40,MAE,0.19642013003767128
34,mean,pima_diabetes,40,MAE,0.1655089597072138
35,mean,pima_diabetes,60,MAE,0.18464990398437398
36,mean,pima_diabetes,60,MAE,0.1698761787973016
37,mean,pima_diabetes,60,MAE,0.18355751378201562
38,mean,pima_diabetes,60,MAE,0.19844461909191702
39,mean,pima_diabetes,60,MAE,0.1714130163220992
40,mean,bc_coimbra,10,MAE,0.19865974244064044
41,mean,bc_coimbra,10,MAE,0.20984689134838982
42,mean,bc_coimbra,10,MAE,0.18528960243030526
43,mean,bc_coimbra,10,MAE,0.1858632427088046
44,mean,bc_coimbra,10,MAE,0.178995076882278
45,mean,bc_coimbra,20,MAE,0.21409499024155249
46,mean,bc_coimbra,20,MAE,0.2227958416458224
47,mean,bc_coimbra,20,MAE,0.21537666765057217
48,mean,bc_coimbra,20,MAE,0.19053193844639826
49,mean,bc_coimbra,20,MAE,0.18070400937601608
50,mean,bc_coimbra,40,MAE,0.21299832575395686
51,mean,bc_coimbra,40,MAE,0.24323121625893793
52,mean,bc_coimbra,40,MAE,0.20996446915052566
53,mean,bc_coimbra,40,MAE,0.16579858736109074
54,mean,bc_coimbra,40,MAE,0.19772191682696091
55,mean,bc_coimbra,60,MAE,0.23560459564857983
56,mean,bc_coimbra,60,MAE,0.2639354513070453
57,mean,bc_coimbra,60,MAE,0.18181467689085942
58,mean,bc_coimbra,60,MAE,0.16876397368632928
59,mean,bc_coimbra,60,MAE,0.17406767044914023
60,mean,indian_liver,10,MAE,0.1759592304888305
61,mean,indian_liver,10,MAE,0.1794521411446944
62,mean,indian_liver,10,MAE,0.16921008159359024
63,mean,indian_liver,10,MAE,0.1846729283847066
64,mean,indian_liver,10,MAE,0.18298838856528846
65,mean,indian_liver,20,MAE,0.16369588614208588
66,mean,indian_liver,20,MAE,0.17952483815903497
67,mean,indian_liver,20,MAE,0.15543974764888135
