,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
0,wiscosin,10,0.076 ± 0.009,0.0496 ± 0.0084,0.1585 ± 0.0064,0.1442 ± 0.0185,0.158 ± 0.0065,0.1236 ± 0.0103,0.12 ± 0.0092,0.1221 ± 0.0086,0.1227 ± 0.011
1,wiscosin,20,0.0792 ± 0.0075,0.0758 ± 0.006,0.1552 ± 0.005,0.1207 ± 0.0132,0.1552 ± 0.006,0.1176 ± 0.0068,0.1184 ± 0.0075,0.1174 ± 0.0076,0.1181 ± 0.0083
2,wiscosin,40,0.0926 ± 0.0064,0.0924 ± 0.0039,0.1547 ± 0.0077,0.105 ± 0.0084,0.1521 ± 0.0064,0.1162 ± 0.0058,0.116 ± 0.0088,0.1165 ± 0.0077,0.116 ± 0.0075
3,wiscosin,60,0.1067 ± 0.0068,0.1076 ± 0.0061,0.1568 ± 0.007,0.1001 ± 0.0081,0.1569 ± 0.0069,0.1175 ± 0.0081,0.1172 ± 0.0069,0.1173 ± 0.007,0.1162 ± 0.0068
4,pima_diabetes,10,0.1584 ± 0.0102,0.1658 ± 0.0125,0.1952 ± 0.0147,0.1733 ± 0.0158,0.194 ± 0.0101,0.1786 ± 0.0204,0.1744 ± 0.0153,0.1787 ± 0.0229,0.1787 ± 0.0119
5,pima_diabetes,20,0.1522 ± 0.0145,0.1549 ± 0.0113,0.181 ± 0.0133,0.1583 ± 0.0175,0.179 ± 0.0115,0.1659 ± 0.0161,0.1668 ± 0.0141,0.1669 ± 0.016,0.1642 ± 0.0152
6,pima_diabetes,40,0.1623 ± 0.0177,0.1722 ± 0.0133,0.1787 ± 0.011,0.1419 ± 0.0152,0.1794 ± 0.0112,0.1653 ± 0.0106,0.1662 ± 0.0123,0.1653 ± 0.0135,0.1625 ± 0.0105
7,pima_diabetes,60,0.1752 ± 0.0089,0.1791 ± 0.0108,0.183 ± 0.0095,0.1333 ± 0.0171,0.1816 ± 0.0116,0.1701 ± 0.0106,0.1691 ± 0.0112,0.1681 ± 0.0115,0.1667 ± 0.0097
8,bc_coimbra,10,0.1753 ± 0.0204,0.1699 ± 0.0223,0.241 ± 0.0282,0.1687 ± 0.038,0.1917 ± 0.0124,0.1785 ± 0.0651,0.1717 ± 0.0632,0.1696 ± 0.0285,0.1738 ± 0.031
9,bc_coimbra,20,0.1812 ± 0.0303,0.1676 ± 0.011,0.2221 ± 0.0381,0.146 ± 0.0358,0.2047 ± 0.0181,0.1685 ± 0.0228,0.1672 ± 0.016,0.1896 ± 0.0487,0.1773 ± 0.0158
