,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr3,wiscosin,10,0.1219,0.0139
1,lpr3,wiscosin,20,0.1127,0.0106
2,lpr3,wiscosin,40,0.1094,0.0125
3,lpr3,wiscosin,60,0.1193,0.0141
4,lpr3,pima_diabetes,10,0.1144,0.0194
5,lpr3,pima_diabetes,20,0.1251,0.0264
6,lpr3,pima_diabetes,40,0.1204,0.0236
7,lpr3,pima_diabetes,60,0.1298,0.0279
8,lpr3,bc_coimbra,10,0.1828,0.0758
9,lpr3,bc_coimbra,20,0.205,0.0832
10,lpr3,bc_coimbra,40,0.2052,0.0611
11,lpr3,bc_coimbra,60,0.1922,0.0441
12,lpr3,indian_liver,10,0.1016,0.0342
13,lpr3,indian_liver,20,0.1011,0.0281
14,lpr3,indian_liver,40,0.0977,0.0262
15,lpr3,indian_liver,60,0.0969,0.0226
16,lpr3,parkinsons,10,0.1357,0.0441
17,lpr3,parkinsons,20,0.1353,0.0296
18,lpr3,parkinsons,40,0.1359,0.0278
19,lpr3,parkinsons,60,0.1544,0.0251
20,lpr3,mammographic_masses,10,0.2528,0.0348
21,lpr3,mammographic_masses,20,0.2668,0.0351
22,lpr3,mammographic_masses,40,0.2656,0.0286
23,lpr3,mammographic_masses,60,0.2777,0.0191
24,lpr3,hcv_egyptian,10,0.3094,0.0109
25,lpr3,hcv_egyptian,20,0.3128,0.0107
26,lpr3,hcv_egyptian,40,0.3172,0.008
27,lpr3,hcv_egyptian,60,0.3142,0.0096
28,lpr3,thoracic_surgey,10,0.1543,0.0319
29,lpr3,thoracic_surgey,20,0.1576,0.0251
30,lpr3,thoracic_surgey,40,0.1706,0.0336
31,lpr3,thoracic_surgey,60,0.1594,0.0302
